folder,psnr,ssim,lpips
03_21_2024_W_L_Ranch1_P_1,10.79749,0.24859,0.8101
03_21_2024_W_L_Ranch_P_2,11.0635,0.23194,0.75109
03_21_2024_W_L_Spices1_P_1,10.88328,0.22838,0.75047
03_21_2024_W_L_Syrup1_P_1,10.67156,0.25818,0.75261
03_21_2024_W_L_Syrup_P_2,9.38174,0.2189,0.78486
03_21_2024_W_L_Tomatoes_F_2,12.33983,0.35231,0.70696
04_04_2024_NG_C_Bananas1_F_1,11.57952,0.37993,0.78895
04_04_2024_NG_C_Broth_P_2,10.4978,0.27761,0.87143
04_04_2024_NG_C_Chips_P_2,11.17095,0.25846,0.83209
04_04_2024_NG_C_Fruits1_F_1,10.86468,0.27532,0.82269
04_04_2024_NG_C_Gourds1_V_1,11.3718,0.37443,0.80075
04_04_2024_NG_C_Oats_P_3,10.65149,0.2205,0.89878
04_04_2024_NG_C_Onions1_V_1,11.5101,0.3945,0.77626
04_04_2024_NG_C_PeanutButter_P_2,11.10299,0.29656,0.8221
04_04_2024_S_C_Apples1_F_1,11.87743,0.38827,0.78653
04_04_2024_S_C_Apples2_F_1,13.58041,0.5045,0.67037
04_04_2024_S_C_ApplesLong1_F_1,11.91971,0.41629,0.83915
04_04_2024_S_C_Apples_P_3,10.71112,0.24195,0.87186
04_04_2024_S_C_Bananas_F_2,11.33658,0.3877,0.77766
04_04_2024_S_C_Broccoli1_V_1,11.78772,0.22614,0.80312
04_04_2024_S_C_Cantaloupe_F_2,12.01844,0.45686,0.78168
04_04_2024_S_C_Celery1_V_1,11.4165,0.26566,0.82744
04_04_2024_S_C_Chips1_P_1,10.68046,0.22306,0.82696
04_04_2024_S_C_Chips2_P_1,10.27163,0.23382,0.85956
04_04_2024_S_C_Chips2_P_2,10.71467,0.23641,0.84095
04_04_2024_S_C_Chips3_P_1,10.48205,0.20259,0.8021
04_04_2024_S_C_Chips3_P_2,11.21242,0.26719,0.78764
04_04_2024_S_C_Chips4_P_1,10.73573,0.17395,0.96495
04_04_2024_S_C_Chips_P_2,10.65269,0.22883,0.83513
04_04_2024_S_C_Coffee2_P_3,10.65604,0.23687,0.86964
04_04_2024_S_C_Coffee_P_3,9.67985,0.1964,0.89748
04_04_2024_S_C_Exotic_F_2,11.37674,0.4184,0.80548
04_04_2024_S_C_Gourds1_V_1,11.3389,0.42553,0.76635
04_04_2024_S_C_Greens_V_2,11.02984,0.27492,0.79951
04_04_2024_S_C_Ketchup_P_2,11.09453,0.35248,0.79185
04_04_2024_S_C_Lemons1_F_1,12.42291,0.43985,0.74738
04_04_2024_S_C_Mayo_P_2,9.86385,0.28212,0.88013
04_04_2024_S_C_Oil_P_3,10.1087,0.252,0.84937
04_04_2024_S_C_Oranges1_F_1,13.84332,0.5053,0.66
04_04_2024_S_C_OrangesLong1_F_1,12.55467,0.42506,0.79834
04_04_2024_S_C_OrangesLong2_F_1,11.28021,0.33653,0.84048
04_04_2024_S_C_PeanutButter_P_3,10.59124,0.27655,0.86004
04_04_2024_S_C_Pears1_F_1,12.1955,0.43681,0.80704
04_04_2024_S_C_Peppers1_F_1,10.45851,0.29973,0.81459
04_04_2024_S_C_Peppers2_F_1,10.23726,0.28009,0.82296
04_04_2024_S_C_Pickles_P_2,10.19114,0.32498,0.86209
04_04_2024_S_C_Potatoes_V_2,11.68928,0.44392,0.71265
04_04_2024_S_C_Ranch_P_2,11.26378,0.29487,0.78304
04_04_2024_S_C_Salsa_P_3,9.38948,0.20759,0.87801
04_04_2024_S_C_Sauce_P_3,10.09464,0.22106,0.88014
04_04_2024_S_C_Sauces_P_2,10.79604,0.25303,0.76296
04_04_2024_S_C_Various2_V_2,10.9257,0.32425,0.82019
04_04_2024_S_C_Various_F_2,11.60312,0.3521,0.80624
04_04_2024_S_C_Various_V_2,11.48742,0.32059,0.80569
04_04_2024_W2_C_Alfredo_P_3,10.32154,0.252,0.87844
04_04_2024_W2_C_AppleJuice_P_3,10.53752,0.24941,0.85705
04_04_2024_W2_C_Apples1_F_1,12.32435,0.343,0.75702
04_04_2024_W2_C_Apples2_F_1,11.79829,0.30779,0.8096
04_04_2024_W2_C_Apples3_F_1,11.29424,0.24599,0.76746
04_04_2024_W2_C_Apples5_F_1,11.411,0.28198,0.74053
04_04_2024_W2_C_ApplesLong1_F_1,10.52158,0.35653,0.85558
04_04_2024_W2_C_ApplesLong2_F_1,11.36798,0.28492,0.79954
04_04_2024_W2_C_AvacadosLong1_F_1,10.84383,0.24231,0.8213
04_04_2024_W2_C_Bananas2_F_1,12.20801,0.39222,0.72673
04_04_2024_W2_C_BananasLong1_F_1,11.33577,0.36324,0.83638
04_04_2024_W2_C_Beans_P_3,10.60223,0.23732,0.9016
04_04_2024_W2_C_Bread2_P_2,11.2147,0.25483,0.75487
04_04_2024_W2_C_Bread3_P_2,12.29127,0.2924,0.72886
04_04_2024_W2_C_Bread_P_2,11.55241,0.33193,0.84865
