folder,psnr,ssim,lpips
04_18_2024_W2_F_Plantains1_F_1,14.53834,0.49239,0.65318
04_18_2024_W2_F_Pringles_P_2,9.76191,0.17413,0.84125
04_18_2024_W_F_Bread2_P_3,9.54974,0.18417,0.83465
04_18_2024_W2_F_Random_P_3,9.53463,0.23154,0.83246
04_18_2024_W2_F_Cans_P_2,12.62976,0.22709,0.70001
04_04_2024_W_C_Sauce2_P_3,11.46462,0.20518,0.78195
04_04_2024_W_C_Ranch_P_3,10.6697,0.19866,0.80743
03_04_2024_S_L_FruitsLong_F_1,10.24557,0.16986,0.80099
04_04_2024_NG_C_PeanutButter_P_2,12.59597,0.29591,0.66887
04_19_2024_S2_F_Jam1_P_1,10.84152,0.18335,0.8153
04_18_2024_W3_F_PastaSauce1_P_1,11.63365,0.27654,0.73125
03_21_2024_W_L_Candy_P_2,12.26051,0.26577,0.7064
04_18_2024_W2_F_Juice_P_3,10.72201,0.23806,0.88252
04_04_2024_S_C_Sauces_P_2,12.94668,0.23166,0.6269
04_18_2024_W3_F_Bananas2_F_1,14.00882,0.48274,0.64407
04_04_2024_W2_C_Candy2_P_3,10.70687,0.28101,0.858
04_18_2024_W3_F_CanSoup_P_3,9.71546,0.22929,0.80674
04_19_2024_W4_F_RedOnions1_V_1,11.17537,0.32322,0.75427
04_04_2024_W_C_GranolaBars3_P_2,13.01529,0.27713,0.65428
04_18_2024_W2_F_Cans2_P_2,9.05647,0.18285,0.87248
03_21_2024_W_L_Apples_F_2,12.60148,0.40561,0.66347
03_04_2024_S_L_Greens_V_2,14.01818,0.28171,0.56758
04_18_2024_W_F_Broccoli1_V_1,14.65154,0.35298,0.39901
04_18_2024_W2_F_Candy_P_2,9.80794,0.19789,0.80063
03_21_2024_W_L_Pastasauce_P_2,11.70126,0.19607,0.71012
04_19_2024_S2_F_Chips5_P_3,11.32476,0.29343,0.83086
04_19_2024_W4_F_Salsa_P_3,null,null,null
03_07_2024_S_L_Apples3_F_2,11.44507,0.31607,0.79413
03_21_2024_W_L_Plantains1_F_1,17.34725,0.54896,0.30189
04_04_2024_W2_C_Tea_P_3,12.30456,0.31059,0.74418
04_18_2024_W2_F_Candy5_P_2,9.11685,0.21024,0.83886
04_19_2024_W4_F_Random_P_3,10.64475,0.25087,0.84066
04_04_2024_S_C_Oranges1_F_1,15.41562,0.5851,0.55214
04_18_2024_W2_F_Cans3_P_2,11.30581,0.27785,0.75469
04_04_2024_W2_C_Lemons1_F_1,14.09337,0.38584,0.68151
04_19_2024_W4_F_Onions2_V_1,14.7085,0.51787,0.61752
04_18_2024_W_F_Cans5_P_2,11.28951,0.1914,0.74935
04_18_2024_W3_F_Coffee_P_2,11.73552,0.25829,0.77183
04_18_2024_W3_F_Oils3_P_2,10.42413,0.25002,0.76767
04_04_2024_W_C_Melons1_F_1,9.86355,0.34551,0.73938
04_18_2024_W2_F_Vinegar_P_3,9.63126,0.22588,0.80362
03_04_2024_S_L_Onions1_V_1,12.28956,0.24062,0.66067
04_04_2024_S_C_Chips2_P_1,10.68166,0.2566,0.81435
03_04_2024_S_L_Onions_V_2,12.80422,0.28245,0.73867
04_18_2024_W2_F_Apples2_F_1,12.14184,0.34633,0.62732
04_19_2024_W4_F_Greens2_V_1,13.42573,0.32491,0.66292
04_18_2024_W_F_Asparagus1_V_1,12.74276,0.31562,0.65191
04_04_2024_W_C_Greens3_V_1,11.71658,0.23285,0.66117
04_18_2024_W3_F_Apples1_F_1,11.87554,0.32168,0.75522
04_04_2024_W2_C_Apples1_F_1,12.91903,0.42203,0.60896
04_19_2024_S2_F_Oil1_P_1,11.02127,0.21026,0.81387
04_18_2024_W3_F_Powerade_P_3,10.32548,0.18912,0.81841
04_18_2024_W3_F_Juice_P_3,9.84636,0.21323,0.87123
03_21_2024_W_L_Nectarines2_F_1,13.1509,0.26755,0.58939
04_18_2024_W2_F_Pickles_P_2,9.99109,0.18267,0.81466
04_18_2024_W3_F_Chilli_P_3,10.03868,0.16829,0.84767
04_18_2024_W_F_Snacks_P_3,9.7589,0.18511,0.81417
04_18_2024_W2_F_Radish1_V_1,13.23353,0.23845,0.65028
