folder,psnr,ssim,lpips
04_18_2024_W3_F_Potatoes2_V_1,11.95614,0.34069,0.69282
04_18_2024_W3_F_RedOnions1_V_1,11.42249,0.33157,0.67118
04_18_2024_W3_F_Tomatoes1_F_1,13.90907,0.38751,0.62419
04_18_2024_W3_F_Tomatoes2_F_1,13.88219,0.4436,0.65551
04_18_2024_W_F_Apples1_F_1,15.03205,0.50854,0.58353
04_18_2024_W_F_Apples2_F_1,13.06196,0.41437,0.6645
04_18_2024_W_F_Apples3_F_1,13.15301,0.41781,0.64561
04_18_2024_W_F_Apples4_F_1,15.09814,0.50326,0.63362
04_18_2024_W_F_Asparagus1_V_1,12.62532,0.26573,0.61979
04_18_2024_W_F_Avacados1_F_1,11.01613,0.30109,0.74795
04_18_2024_W_F_Bananas1_F_1,11.87437,0.38922,0.69357
04_18_2024_W_F_Bananas2_F_1,13.94353,0.49225,0.63513
04_18_2024_W_F_Cans2_P_2,10.54973,0.23173,0.76332
04_18_2024_W_F_Chips2_P_3,9.23447,0.24466,0.82344
04_18_2024_W_F_Coconuts1_F_1,11.47672,0.45454,0.72663
04_18_2024_W_F_Corn1_F_1,12.77149,0.30737,0.61794
04_18_2024_W_F_Cucumbers1_V_1,12.50856,0.34785,0.63048
04_18_2024_W_F_Doritos_P_3,9.02673,0.19586,0.77752
04_18_2024_W_F_Flour1_P_1,11.55672,0.34933,0.73097
04_18_2024_W_F_Garlic1_V_1,14.05217,0.48481,0.59345
04_18_2024_W_F_GrapeFruit1_F_1,12.49297,0.40911,0.70662
04_18_2024_W_F_GreenPeppers1_F_1,12.77673,0.32824,0.60098
04_18_2024_W_F_Greens1_V_1,11.76343,0.29172,0.64224
04_18_2024_W_F_Greens2_V_1,13.53854,0.44206,0.63672
04_18_2024_W_F_Jam_P_3,9.02282,0.28731,0.76748
04_18_2024_W_F_Lemons1_F_1,12.47042,0.42602,0.97624
04_18_2024_W_F_Mangoes1_F_1,16.2118,0.56481,0.53244
04_18_2024_W_F_Melons1_F_1,13.25892,0.52456,0.68563
04_18_2024_W_F_Nectarines1_F_1,14.97329,0.56934,0.67312
04_18_2024_W_F_Oil_P_3,10.51146,0.29336,0.75951
04_18_2024_W_F_Oils_P_2,5.87646,0.01,1.04539
04_18_2024_W_F_Olive_P_3,9.73194,0.30678,0.7258
04_18_2024_W_F_Onions1_V_1,13.9879,0.46551,0.63227
04_18_2024_W_F_Oranges1_F_1,13.03959,0.46939,0.74187
04_18_2024_W_F_Pineapples1_F_1,5.65809,0.00621,1.03647
04_18_2024_W_F_Random_P_3,9.46322,0.30692,0.8101
04_18_2024_W_F_Snacks_P_3,9.69087,0.27929,0.82081
04_18_2024_W_F_Tomatoes1_F_1,12.19994,0.36073,0.68268
04_18_2024_W_F_Tomatoes2_F_1,12.00111,0.39694,0.76837
04_19_2024_S2_F_Apples1_F_1,12.40727,0.39183,0.73654
04_19_2024_S2_F_Apples_F_2,11.76354,0.44449,0.71085
04_19_2024_S2_F_Avacados1_F_1,5.78126,0.00695,1.03567
04_19_2024_S2_F_Chips_P_3,9.83331,0.27032,0.8082
04_19_2024_S2_F_FruitCans1_P_1,9.54781,0.25655,0.82787
04_19_2024_S2_F_Greens1_V_1,11.55472,0.32931,0.72941
04_19_2024_S2_F_Greens2_V_1,10.69371,0.27253,0.72412
04_19_2024_S2_F_Lemons1_F_1,13.56551,0.45055,0.88032
04_19_2024_S2_F_Melons1_F_1,12.47022,0.44872,0.68885
04_19_2024_S2_F_Onions1_V_1,11.07421,0.38632,0.76023
04_19_2024_S2_F_Onions2_V_1,11.67717,0.4498,0.74648
04_19_2024_S2_F_Onions3_V_1,12.58331,0.37068,0.64315
04_19_2024_S2_F_Tomatoes1_F_1,12.70027,0.3063,0.65258
04_19_2024_S2_F_Vinegar_P_3,9.60989,0.24603,0.77436
04_19_2024_S_F_Bananas1_F_1,6.01549,0.01436,1.08308
04_19_2024_W4_F_Avacados1_F_1,11.24528,0.28891,0.69285
04_19_2024_W4_F_Bananas2_F_1,11.62639,0.37049,0.68717
04_19_2024_W4_F_CanTomato_P_3,9.43893,0.23282,0.79995
04_19_2024_W4_F_Grapefruits1_F_1,13.53991,0.48296,0.68539
04_19_2024_W4_F_Greens1_V_1,6.31193,0.01075,0.99647
04_19_2024_W4_F_Greens2_V_1,11.20172,0.24462,0.7025
04_19_2024_W4_F_Juices_P_3,9.10953,0.30461,0.85277
04_19_2024_W4_F_Lemons1_F_1,15.188,0.53374,0.63183
04_19_2024_W4_F_Melons1_F_1,10.96962,0.45034,0.75216
04_19_2024_W4_F_Nectarines1_F_1,13.09493,0.39821,0.66662
04_19_2024_W4_F_Onions2_V_1,4.62722,0.00489,1.03762
04_19_2024_W4_F_OrganicBananas1_F_1,12.56845,0.37529,0.66388
04_19_2024_W4_F_Peppers1_F_1,10.52377,0.32699,0.77194
04_19_2024_W4_F_Plantains1_F_1,5.72732,0.01789,1.0573
04_19_2024_W4_F_Potatoes1_V_1,10.40188,0.4133,0.81382
04_19_2024_W4_F_Soup_P_3,9.27389,0.23847,0.82371
04_19_2024_W4_F_Tomatoes1_F_1,11.53506,0.33978,0.75114
04_19_2024_W4_F_Watermelons1_F_1,11.96274,0.40889,0.74957
04_19_2024_W_F_Sauce_P_2,10.77792,0.3146,0.76156
