folder,psnr,ssim,lpips
04_19_2024_S2_F_Juice1_P_1,9.39202,0.19087,0.87787
04_18_2024_W3_F_Peppers1_F_1,12.00676,0.293,0.7288
04_18_2024_W_F_Syrup1_P_1,9.96543,0.21979,0.81057
03_21_2024_W_L_Chips1_P_1,11.8635,0.24444,0.76762
04_18_2024_W3_F_Juice_P_3,9.06182,0.21931,0.93146
04_04_2024_S_C_Pears1_F_1,12.18264,0.47112,0.79339
04_18_2024_W_F_PeanutButter_P_3,9.32564,0.20659,0.88592
03_04_2024_S_L_SparklingWater_P_1,14.11121,0.29414,0.67881
04_18_2024_W3_F_Flour_P_2,10.62561,0.28352,0.82886
04_19_2024_S2_F_PastaSauce_P_2,10.62085,0.19982,0.89442
04_18_2024_W_F_Pickles_P_2,10.34891,0.25847,0.85033
04_18_2024_W3_F_Chips_P_2,10.38117,0.1864,0.80225
04_04_2024_W_C_Apples3_F_1,13.81699,0.40388,0.6541
04_04_2024_W_C_Ketchup_P_3,9.74429,0.22892,0.8423
04_19_2024_S2_F_Drinks_P_2,10.18656,0.24249,0.855
04_18_2024_W2_F_Pears1_F_1,13.84077,0.38636,0.61667
04_04_2024_W_C_Coffee_P_2,12.16443,0.29552,0.7259
04_18_2024_W_F_Asparagus1_V_1,12.25743,0.28652,0.77347
03_04_2024_S_L_Onions1_V_1,12.16448,0.29904,0.7496
04_18_2024_W_F_Cans6_P_2,10.49567,0.19024,0.83304
04_04_2024_W_C_Sauce_P_3,10.04707,0.24433,0.83919
03_04_2024_S_L_Nuts_P_2,12.9136,0.22568,0.70412
04_18_2024_W2_F_Oranges1_F_1,12.95133,0.3772,0.7404
04_19_2024_W4_F_Apples1_F_1,10.91219,0.28589,0.81038
04_18_2024_W2_F_AppleJuice_P_3,9.7099,0.28476,0.90379
04_18_2024_W3_F_Chilli_P_3,9.48546,0.21879,0.87997
03_04_2024_S_L_ApplesLong_F_1,12.79955,0.29081,0.74645
03_21_2024_W_L_Candy2_P_2,11.52656,0.25452,0.72038
04_04_2024_W_C_GranolaBars3_P_2,11.51894,0.26147,0.77383
04_18_2024_W_F_PastaSauce5_P_2,9.99782,0.1947,0.84947
03_21_2024_W_L_Oil1_P_1,11.25827,0.20373,0.66782
04_04_2024_W2_C_Tomatoes2_F_1,11.8759,0.34074,0.75207
04_18_2024_W3_F_Apples2_F_1,11.53714,0.30893,0.76738
04_04_2024_W2_C_Chips_P_3,10.99251,0.27051,0.86801
04_18_2024_W_F_Mangoes1_F_1,13.84518,0.42885,0.57733
04_18_2024_W3_F_BBQSauce_P_3,9.14823,0.19503,0.84609
03_21_2024_W_L_Melons1_F_1,13.09167,0.42519,0.66377
04_18_2024_W_F_RedOnions1_V_1,11.68102,0.37131,0.77909
04_19_2024_S2_F_Juice2_P_1,10.1762,0.18941,0.83334
04_18_2024_W2_F_Cans3_P_2,10.40162,0.25371,0.8013
04_04_2024_W_C_Ranch_P_3,9.90563,0.23334,0.84968
04_18_2024_W2_F_Apples3_F_1,13.50183,0.41925,0.6389
04_19_2024_S2_F_Chips_P_3,10.24898,0.26191,0.90129
04_18_2024_W3_F_CanFruits_P_3,9.95002,0.23521,0.87614
04_04_2024_W2_C_PeanutButter_P_3,10.38893,0.28341,0.86217
04_19_2024_W4_F_Chips_P_3,10.99431,0.33349,0.93055
03_21_2024_W_L_Cucumbers_F_2,11.34192,0.29396,0.76709
04_18_2024_W2_F_Cans2_P_2,9.91506,0.18845,0.84853
04_19_2024_S2_F_Oranges1_F_1,12.45106,0.38788,0.75986
03_07_2024_S_L_Apples3_F_2,12.03674,0.37237,0.82632
03_21_2024_W_L_Pears1_F_1,12.90062,0.33541,0.68706
04_04_2024_W2_C_Alfredo_P_3,10.52104,0.25238,0.8529
04_19_2024_S2_F_Apples2_F_1,11.84016,0.33603,0.78577
04_18_2024_W2_F_Coffee2_P_3,9.93523,0.27844,0.88335
03_21_2024_W_L_Radish_V_2,12.18464,0.28818,0.67247
04_19_2024_S2_F_Onions2_V_1,11.52527,0.36018,0.74257
04_04_2024_W2_C_PastaSauce_P_2,10.40601,0.21866,0.84279
04_04_2024_W2_C_Cans_P_2,11.98847,0.3594,0.79534
04_04_2024_W_C_GranolaBars2_P_2,10.98465,0.27391,0.81609
04_18_2024_W2_F_HotSauce1_P_1,9.78659,0.21887,0.8246
04_04_2024_W_C_Coffee4_P_2,10.9831,0.24912,0.79823
