folder,psnr,ssim,lpips
03_21_2024_W_L_Radish_V_2,13.94216,0.33738,0.59601
03_21_2024_W_L_Ranch1_P_1,10.73375,0.24877,0.74364
03_21_2024_W_L_Ranch_P_2,11.83175,0.28137,0.67504
03_21_2024_W_L_Spices1_P_1,11.31802,0.24388,0.69302
03_21_2024_W_L_Syrup1_P_1,10.25691,0.23338,0.70197
03_21_2024_W_L_Syrup_P_2,10.80839,0.25502,0.68101
03_21_2024_W_L_Tomatoes_F_2,12.46638,0.34361,0.68007
04_04_2024_NG_C_Bananas1_F_1,11.70828,0.38004,0.72987
04_04_2024_NG_C_Broth_P_2,10.70053,0.27591,0.81794
04_04_2024_NG_C_Chips_P_2,11.75919,0.23909,0.76012
04_04_2024_NG_C_Fruits1_F_1,11.53802,0.27978,0.75097
04_04_2024_NG_C_Gourds1_V_1,12.22474,0.35942,0.71533
04_04_2024_NG_C_Oats_P_3,10.98282,0.28301,0.83971
04_04_2024_NG_C_Onions1_V_1,12.80743,0.42268,0.67809
04_04_2024_NG_C_PeanutButter_P_2,11.50034,0.30249,0.74364
04_04_2024_S_C_Apples1_F_1,11.31598,0.36821,0.77765
04_04_2024_S_C_Apples2_F_1,14.11895,0.51068,0.64334
04_04_2024_S_C_ApplesLong1_F_1,11.82235,0.39118,0.7953
04_04_2024_S_C_Apples_P_3,11.62187,0.31564,0.82824
04_04_2024_S_C_Bananas_F_2,11.18571,0.35882,0.70474
04_04_2024_S_C_Broccoli1_V_1,11.81306,0.21863,0.74867
04_04_2024_S_C_Cantaloupe_F_2,13.19968,0.44926,0.70828
04_04_2024_S_C_Celery1_V_1,11.41738,0.25034,0.78103
04_04_2024_S_C_Chips1_P_1,10.12898,0.18096,0.76041
04_04_2024_S_C_Chips2_P_1,10.28543,0.18749,0.79374
04_04_2024_S_C_Chips2_P_2,10.34333,0.20299,0.77468
04_04_2024_S_C_Chips3_P_1,10.06372,0.1589,0.74177
04_04_2024_S_C_Chips3_P_2,10.96882,0.24224,0.75123
04_04_2024_S_C_Chips4_P_1,11.39319,0.20613,0.8304
04_04_2024_S_C_Chips_P_2,10.15739,0.19913,0.77174
