folder,psnr,ssim,lpips
03_21_2024_W_L_Cereal1_P_1,13.17189,0.26463,0.50523
04_04_2024_W2_C_Apples5_F_1,12.10799,0.15014,0.52834
04_04_2024_W2_C_Grapefruits1_F_1,13.1156,0.22584,0.50897
04_04_2024_W2_C_Candy2_P_3,10.04129,0.08939,0.67556
04_04_2024_W2_C_ApplesLong1_F_1,10.8988,0.13774,0.56863
04_04_2024_W_C_PastaSauce_P_2,5.59058,0.00656,0.95863
04_18_2024_W2_F_Apples2_F_1,13.1733,0.17459,0.45683
04_04_2024_W_C_Coffee3_P_2,13.82795,0.292,0.53591
04_04_2024_W_C_Cucumbers1_V_1,10.59895,0.08632,0.54405
04_18_2024_W_F_Cucumbers1_V_1,null,null,null
04_04_2024_W_C_Apples4_F_1,null,null,null
04_04_2024_S_C_Peppers2_F_1,10.67567,0.15625,0.57663
03_04_2024_S_L_ChipsSalsa2_P_1,7.55505,0.00675,0.7161
04_18_2024_W2_F_Pringles_P_2,9.44202,0.096,0.63466
04_04_2024_W2_C_Flour_P_3,9.62763,0.10345,0.66565
04_19_2024_S2_F_Chips4_P_3,9.72152,0.09369,0.65404
04_04_2024_S_C_Oranges1_F_1,15.491,0.43912,0.4304
04_04_2024_S_C_Apples1_F_1,11.79039,0.19949,0.57733
04_19_2024_W4_F_CanBeans_P_3,5.86646,0.00538,0.94961
04_18_2024_W2_F_Ketchup_P_2,5.99745,0.01278,0.9311
04_19_2024_W4_F_Apples2_F_1,11.80586,0.18436,0.55228
04_04_2024_W_C_Drinks_P_2,10.75581,0.1383,0.60277
04_18_2024_W2_F_Coffee4_P_3,11.59404,0.15474,0.73912
04_19_2024_W4_F_Lemons1_F_1,15.16645,0.37065,0.39045
04_18_2024_W3_F_Apples3_F_1,12.26863,0.17043,0.48522
04_18_2024_W3_F_Chips3_P_2,9.20246,0.07663,0.68816
04_04_2024_W_C_Boxes_P_2,5.73015,0.00411,0.95952
04_04_2024_S_C_Celery1_V_1,11.81773,0.16836,0.54948
04_19_2024_W4_F_Potatoes1_V_1,10.26014,0.15373,0.64213
04_18_2024_W3_F_GreenPeppers1_F_1,12.58366,0.17671,0.47554
04_18_2024_W2_F_Chips4_P_2,10.27719,0.0715,0.61457
04_18_2024_W3_F_Greens1_V_1,12.26228,0.14535,0.52699
03_21_2024_W_L_Spices1_P_1,12.07042,0.21333,0.49617
