folder,psnr,ssim,lpips
03_21_2024_W_L_Radish_V_2,13.04537,0.36603,0.66479
03_21_2024_W_L_Ranch1_P_1,12.86836,0.41057,0.8706
03_21_2024_W_L_Ranch_P_2,10.99592,0.31705,0.7352
03_21_2024_W_L_Spices1_P_1,12.05796,0.32133,0.68684
03_21_2024_W_L_Syrup1_P_1,11.53199,0.32884,0.69208
03_21_2024_W_L_Syrup_P_2,9.44828,0.28294,0.79183
03_21_2024_W_L_Tomatoes_F_2,14.16095,0.44359,0.61553
04_04_2024_NG_C_Bananas1_F_1,13.81715,0.49536,0.66187
04_04_2024_NG_C_Broth_P_2,6.20155,0.01149,1.0447
04_04_2024_NG_C_Chips_P_2,5.72497,0.01586,1.05588
04_04_2024_NG_C_Fruits1_F_1,11.56549,0.34898,0.77681
04_04_2024_NG_C_Gourds1_V_1,14.5068,0.47226,0.61456
04_04_2024_NG_C_Oats_P_3,9.68157,0.27205,0.82527
04_04_2024_NG_C_Onions1_V_1,13.103,0.50158,0.69868
04_04_2024_NG_C_PeanutButter_P_2,10.3335,0.36508,0.83381
04_04_2024_S_C_Apples1_F_1,12.52462,0.45543,0.70474
04_04_2024_S_C_Apples2_F_1,16.04581,0.59642,0.54406
04_04_2024_S_C_ApplesLong1_F_1,13.19507,0.48838,0.74991
04_04_2024_S_C_Apples_P_3,10.79959,0.29269,0.75946
04_04_2024_S_C_Bananas_F_2,11.38532,0.4191,0.73118
04_04_2024_S_C_Broccoli1_V_1,13.15057,0.27676,0.71467
04_04_2024_S_C_Cantaloupe_F_2,13.56126,0.52489,0.66827
04_04_2024_S_C_Celery1_V_1,11.22811,0.28425,0.76397
04_04_2024_S_C_Chips1_P_1,5.91361,0.01193,1.04346
04_04_2024_S_C_Chips2_P_1,5.97817,0.01032,1.05443
04_04_2024_S_C_Chips2_P_2,11.82071,0.31521,0.77743
04_04_2024_S_C_Chips3_P_1,5.92572,0.01398,1.04629
04_04_2024_S_C_Chips3_P_2,6.30094,0.02701,1.06767
04_04_2024_S_C_Chips4_P_1,11.83111,0.36013,0.99658
04_04_2024_S_C_Chips_P_2,10.20298,0.26023,0.78738
04_04_2024_S_C_Coffee2_P_3,9.99234,0.27451,0.83507
04_04_2024_S_C_Coffee_P_3,9.68271,0.30336,0.82931
04_04_2024_S_C_Exotic_F_2,12.38392,0.48012,0.77026
04_04_2024_S_C_Gourds1_V_1,12.17905,0.48922,0.71691
04_04_2024_S_C_Greens_V_2,14.69389,0.39535,0.69947
04_04_2024_S_C_Ketchup_P_2,12.45205,0.44144,0.70868
04_04_2024_S_C_Lemons1_F_1,6.34782,0.05849,1.04252
04_04_2024_S_C_Mayo_P_2,11.47139,0.457,0.8376
04_04_2024_S_C_Oil_P_3,9.01082,0.26785,0.82811
04_04_2024_S_C_Oranges1_F_1,16.07636,0.63109,0.58639
04_04_2024_S_C_OrangesLong1_F_1,13.18639,0.54743,0.7799
04_04_2024_S_C_OrangesLong2_F_1,11.45712,0.43237,0.77927
04_04_2024_S_C_PeanutButter_P_3,10.11241,0.33352,0.82612
04_04_2024_S_C_Pears1_F_1,14.45828,0.60633,0.62403
04_04_2024_S_C_Peppers1_F_1,13.51949,0.45972,0.6446
04_04_2024_S_C_Peppers2_F_1,10.92578,0.34394,0.771
04_04_2024_S_C_Pickles_P_2,6.30647,0.01706,1.01005
04_04_2024_S_C_Potatoes_V_2,4.98746,0.01066,1.02116
04_04_2024_S_C_Ranch_P_2,12.21056,0.36547,0.73637
04_04_2024_S_C_Salsa_P_3,8.69431,0.26747,0.84782
04_04_2024_S_C_Sauce_P_3,9.12124,0.24284,0.82235
04_04_2024_S_C_Sauces_P_2,10.61149,0.31491,0.80567
04_04_2024_S_C_Various2_V_2,12.45416,0.39313,0.7054
04_04_2024_S_C_Various_F_2,13.16003,0.47302,0.83143
04_04_2024_S_C_Various_V_2,11.90629,0.37622,0.74245
04_04_2024_W2_C_Alfredo_P_3,6.01167,0.0122,1.0452
04_04_2024_W2_C_AppleJuice_P_3,9.80322,0.29158,0.82917
04_04_2024_W2_C_Apples1_F_1,12.79431,0.39428,0.66233
04_04_2024_W2_C_Apples2_F_1,12.66451,0.36618,0.69948
04_04_2024_W2_C_Apples3_F_1,12.57119,0.31276,0.65599
04_04_2024_W2_C_Apples5_F_1,13.36316,0.43753,0.77595
04_04_2024_W2_C_ApplesLong1_F_1,11.35344,0.39249,0.73915
04_04_2024_W2_C_ApplesLong2_F_1,11.20418,0.29956,0.68454
04_04_2024_W2_C_AvacadosLong1_F_1,10.37059,0.27493,0.78651
04_04_2024_W2_C_Bananas2_F_1,13.29277,0.48114,0.7109
04_04_2024_W2_C_BananasLong1_F_1,12.4891,0.44075,0.74231
04_04_2024_W2_C_Beans_P_3,9.74884,0.30124,0.85007
04_04_2024_W2_C_Bread2_P_2,6.3625,0.02091,1.02657
04_04_2024_W2_C_Bread3_P_2,6.39117,0.01511,1.02325
04_04_2024_W2_C_Bread_P_2,11.38197,0.37228,0.76058
04_04_2024_W2_C_Candy2_P_3,9.99876,0.29676,0.8538
04_04_2024_W2_C_Candy_P_3,10.63496,0.35691,0.82931
04_04_2024_W2_C_Cans_P_2,13.31459,0.47515,0.74159
04_04_2024_W2_C_Chips2_P_3,11.33698,0.24546,0.69453
04_04_2024_W2_C_Chips3_P_3,10.95606,0.3027,0.78461
04_04_2024_W2_C_Chips4_P_3,6.76154,0.00984,1.06689
04_04_2024_W2_C_Chips5_P_3,10.21944,0.31618,0.82376
04_04_2024_W2_C_Chips6_P_3,10.29152,0.23371,0.79838
04_04_2024_W2_C_Chips_P_3,6.56144,0.01242,1.03532
04_04_2024_W2_C_Coffee_P_3,11.32425,0.4248,0.79727
04_04_2024_W2_C_Cucumbers1_V_1,12.15835,0.328,0.72975
04_04_2024_W2_C_Cucumbers2_V_1,12.79668,0.37368,0.67933
04_04_2024_W2_C_Flour_P_3,9.78069,0.33154,0.84778
04_04_2024_W2_C_FruitsLong1_F_1,10.9305,0.23956,0.71864
04_04_2024_W2_C_Gourds1_V_1,14.53581,0.57371,0.61685
04_04_2024_W2_C_Grapefruits1_F_1,13.44554,0.4384,0.72975
04_04_2024_W2_C_Juice_P_2,13.13098,0.24047,0.60283
04_04_2024_W2_C_Juice_P_3,6.72423,0.00943,0.91418
04_04_2024_W2_C_Ketchup_P_3,6.42999,0.02229,1.04509
04_04_2024_W2_C_Lemons1_F_1,14.57344,0.42965,0.65922
04_04_2024_W2_C_Mangoes1_F_1,6.27364,0.04267,1.08294
04_04_2024_W2_C_Mayo_P_2,12.65899,0.44603,0.81527
04_04_2024_W2_C_Melons1_F_1,13.85964,0.42644,0.62741
04_04_2024_W2_C_Oil2_P_3,6.22657,0.00752,1.03763
04_04_2024_W2_C_Oil_P_3,6.23603,0.0065,1.01438
04_04_2024_W2_C_Onions1_V_1,14.71224,0.46411,0.68159
04_04_2024_W2_C_Oranges1_F_1,15.15894,0.51786,0.6762
04_04_2024_W2_C_PastaSauce_P_2,6.43521,0.03546,1.03662
04_04_2024_W2_C_PeanutButter_P_3,10.20657,0.32582,0.79005
04_04_2024_W2_C_Peppers1_F_1,11.88081,0.36475,0.6738
04_04_2024_W2_C_Pickles_P_3,9.57006,0.27601,0.82634
04_04_2024_W2_C_Pineapples1_F_1,12.40739,0.16692,0.58976
04_04_2024_W2_C_Plantains1_F_1,16.4904,0.55384,0.60292
04_04_2024_W2_C_Potatoes1_V_1,15.60451,0.47552,0.65451
04_04_2024_W2_C_Potatoes2_V_1,5.67081,0.01283,1.01615
04_04_2024_W2_C_PotatoesLong1_V_1,12.90393,0.44669,0.72007
04_04_2024_W2_C_PotatoesLong2_V_1,12.46668,0.45728,0.79666
04_04_2024_W2_C_Ranch_P_2,11.14066,0.35303,0.77114
04_04_2024_W2_C_RedOnions1_V_1,13.78345,0.37705,0.56877
04_04_2024_W2_C_Sauce_P_2,12.53507,0.39461,0.77272
04_04_2024_W2_C_SourCream_P_3,9.05281,0.28577,0.86945
04_04_2024_W2_C_Spices_P_2,10.20691,0.35187,0.84131
04_04_2024_W2_C_Tea_P_3,7.31915,0.04211,1.00198
04_04_2024_W2_C_Tomatoes1_F_1,13.82475,0.43869,0.69333
04_04_2024_W2_C_Tomatoes2_F_1,12.24562,0.36969,0.69173
04_04_2024_W_C_Apples1_F_1,6.32221,0.0129,1.07244
