folder,psnr,ssim,lpips
04_04_2024_W_C_Sauce2_P_3,10.48382,0.23123,0.71783
04_04_2024_W_C_Ranch_P_3,10.58935,0.21977,0.72207
03_04_2024_S_L_FruitsLong_F_1,null,null,null
04_04_2024_NG_C_PeanutButter_P_2,14.79998,0.35883,0.55728
04_19_2024_S2_F_Jam1_P_1,10.52201,0.24795,0.74188
04_18_2024_W3_F_PastaSauce1_P_1,null,null,null
03_21_2024_W_L_Candy_P_2,6.02247,0.05017,1.05167
04_18_2024_W2_F_Juice_P_3,10.16105,0.2033,0.71155
04_04_2024_S_C_Sauces_P_2,null,null,null
04_18_2024_W3_F_Bananas2_F_1,15.10661,0.55122,0.58882
04_04_2024_W2_C_Candy2_P_3,11.62512,0.28093,0.76384
04_18_2024_W3_F_CanSoup_P_3,5.03182,0.00784,1.07671
04_19_2024_W4_F_RedOnions1_V_1,5.95902,0.00637,1.03458
04_04_2024_W_C_GranolaBars3_P_2,5.9258,0.01383,1.05713
04_18_2024_W2_F_Cans2_P_2,10.19482,0.17072,0.6952
03_21_2024_W_L_Apples_F_2,13.95464,0.38287,0.57713
03_04_2024_S_L_Greens_V_2,13.37409,0.36939,0.90733
04_18_2024_W_F_Broccoli1_V_1,18.31118,0.53731,0.40113
04_18_2024_W2_F_Candy_P_2,null,null,null
03_21_2024_W_L_Pastasauce_P_2,14.79205,0.37924,0.67148
04_19_2024_S2_F_Chips5_P_3,10.90684,0.28409,0.72088
04_19_2024_W4_F_Salsa_P_3,null,null,null
03_07_2024_S_L_Apples3_F_2,null,null,null
03_21_2024_W_L_Plantains1_F_1,20.65062,0.68781,0.33871
04_04_2024_W2_C_Tea_P_3,11.57156,0.30275,0.69888
04_18_2024_W2_F_Candy5_P_2,11.38076,0.40583,0.80502
04_19_2024_W4_F_Random_P_3,5.7826,0.01279,1.04274
04_04_2024_S_C_Oranges1_F_1,6.43992,0.10931,1.03987
04_18_2024_W2_F_Cans3_P_2,14.55077,0.45654,0.6688
04_04_2024_W2_C_Lemons1_F_1,null,null,null
04_19_2024_W4_F_Onions2_V_1,null,null,null
04_18_2024_W_F_Cans5_P_2,5.84115,0.00698,1.04584
04_18_2024_W3_F_Coffee_P_2,5.81695,0.02143,1.0433
04_18_2024_W3_F_Oils3_P_2,12.59397,0.41153,0.69977
04_04_2024_W_C_Melons1_F_1,15.76472,0.44569,0.47348
04_18_2024_W2_F_Vinegar_P_3,9.73489,0.24753,0.72801
03_04_2024_S_L_Onions1_V_1,5.44284,0.00387,1.044
04_04_2024_S_C_Chips2_P_1,11.93962,0.23782,0.68196
03_04_2024_S_L_Onions_V_2,null,null,null
04_18_2024_W2_F_Apples2_F_1,15.58594,0.43913,0.53828
04_19_2024_W4_F_Greens2_V_1,14.7101,0.39731,0.62571
04_18_2024_W_F_Asparagus1_V_1,null,null,null
04_04_2024_W_C_Greens3_V_1,12.46331,0.26003,0.65587
