folder,psnr,ssim,lpips
04_19_2024_S2_F_Juice1_P_1,13.3082,0.52288,0.37518
04_18_2024_W3_F_Peppers1_F_1,6.51295,0.05932,1.05559
04_18_2024_W_F_Syrup1_P_1,5.96287,0.01187,1.03387
03_21_2024_W_L_Chips1_P_1,6.18723,0.01122,1.06122
04_18_2024_W3_F_Juice_P_3,6.23075,0.04614,1.03501
04_04_2024_S_C_Pears1_F_1,16.35128,0.68755,0.44257
04_18_2024_W_F_PeanutButter_P_3,null,null,null
03_04_2024_S_L_SparklingWater_P_1,6.19215,0.00501,1.04734
04_18_2024_W3_F_Flour_P_2,10.18769,0.28901,0.75048
04_19_2024_S2_F_PastaSauce_P_2,9.54268,0.25469,0.82907
04_18_2024_W_F_Pickles_P_2,10.53569,0.30065,0.7709
04_18_2024_W3_F_Chips_P_2,12.24743,0.23113,0.68372
04_04_2024_W_C_Apples3_F_1,14.57079,0.45302,0.62942
04_04_2024_W_C_Ketchup_P_3,9.56896,0.22942,0.76479
04_19_2024_S2_F_Drinks_P_2,9.72738,0.26303,0.75672
04_18_2024_W2_F_Pears1_F_1,16.01334,0.48152,0.50836
04_04_2024_W_C_Coffee_P_2,6.12793,0.01665,1.05933
04_18_2024_W_F_Asparagus1_V_1,13.58675,0.35099,0.63546
03_04_2024_S_L_Onions1_V_1,14.60571,0.41195,0.72774
04_18_2024_W_F_Cans6_P_2,5.68226,0.00556,1.05924
04_04_2024_W_C_Sauce_P_3,10.36378,0.3063,0.81656
03_04_2024_S_L_Nuts_P_2,14.05307,0.31176,0.68543
04_18_2024_W2_F_Oranges1_F_1,14.34434,0.49593,0.68152
04_19_2024_W4_F_Apples1_F_1,11.38988,0.3236,0.72202
04_18_2024_W2_F_AppleJuice_P_3,6.56024,0.09057,1.0382
04_18_2024_W3_F_Chilli_P_3,8.42408,0.26917,0.7587
03_04_2024_S_L_ApplesLong_F_1,14.57474,0.42483,0.7768
03_21_2024_W_L_Candy2_P_2,12.7355,0.34918,0.61298
04_04_2024_W_C_GranolaBars3_P_2,12.3448,0.31393,0.68589
04_18_2024_W_F_PastaSauce5_P_2,11.24323,0.31474,0.80143
03_21_2024_W_L_Oil1_P_1,20.06289,0.76754,0.12263
04_04_2024_W2_C_Tomatoes2_F_1,13.14397,0.38998,0.64934
04_18_2024_W3_F_Apples2_F_1,11.68539,0.35648,0.71233
04_04_2024_W2_C_Chips_P_3,12.70621,0.34083,0.74593
04_18_2024_W_F_Mangoes1_F_1,18.54943,0.62604,0.45086
04_18_2024_W3_F_BBQSauce_P_3,12.92884,0.52053,0.45309
03_21_2024_W_L_Melons1_F_1,12.81522,0.4294,0.68035
04_18_2024_W_F_RedOnions1_V_1,12.96271,0.41654,0.66737
04_19_2024_S2_F_Juice2_P_1,16.26878,0.59536,0.18917
04_18_2024_W2_F_Cans3_P_2,6.17,0.00641,1.03292
04_04_2024_W_C_Ranch_P_3,9.87958,0.25011,0.75458
04_18_2024_W2_F_Apples3_F_1,13.89736,0.47522,0.64155
04_19_2024_S2_F_Chips_P_3,10.16942,0.25588,0.74022
04_18_2024_W3_F_CanFruits_P_3,null,null,null
04_04_2024_W2_C_PeanutButter_P_3,11.07436,0.32836,0.77678
04_19_2024_W4_F_Chips_P_3,9.39974,0.32573,0.78946
03_21_2024_W_L_Cucumbers_F_2,11.4874,0.31738,0.65009
04_18_2024_W2_F_Cans2_P_2,null,null,null
04_19_2024_S2_F_Oranges1_F_1,13.62766,0.48061,0.69736
03_07_2024_S_L_Apples3_F_2,11.99677,0.43553,0.72211
03_21_2024_W_L_Pears1_F_1,15.05959,0.42547,0.60271
04_04_2024_W2_C_Alfredo_P_3,12.29275,0.36489,0.79526
04_19_2024_S2_F_Apples2_F_1,13.03539,0.42024,0.67193
04_18_2024_W2_F_Coffee2_P_3,9.05546,0.25546,0.76731
03_21_2024_W_L_Radish_V_2,14.36842,0.38414,0.60051
04_19_2024_S2_F_Onions2_V_1,8.21076,0.31667,0.93751
04_04_2024_W2_C_PastaSauce_P_2,6.63179,0.03311,1.03729
04_04_2024_W2_C_Cans_P_2,17.71215,0.67411,0.21159
04_04_2024_W_C_GranolaBars2_P_2,12.36199,0.34847,0.71801
04_18_2024_W2_F_HotSauce1_P_1,16.04547,0.66966,0.34917
04_04_2024_W_C_Coffee4_P_2,15.19067,0.65703,0.22867
04_18_2024_W2_F_Radish1_V_1,13.41997,0.30155,0.58892
04_19_2024_W_F_Oils_P_2,null,null,null
04_19_2024_W4_F_Pears1_F_1,10.92981,0.31868,0.73566
03_07_2024_S_L_Various_V_2,12.52596,0.32019,0.65833
04_04_2024_W2_C_Potatoes1_V_1,11.48147,0.02735,0.86729
04_04_2024_W_C_Onions1_V_1,12.47344,0.48271,0.73354
04_18_2024_W2_F_Mangoes1_F_1,12.81641,0.43253,0.73837
04_19_2024_S2_F_Mayo_P_2,10.60509,0.2654,0.72464
03_21_2024_W_L_Pastasauce_P_2,12.60426,0.34969,0.68209
04_19_2024_W4_F_Nectarines1_F_1,13.42592,0.45151,0.65407
04_18_2024_W3_F_HotSauce_P_3,9.2487,0.24234,0.7804
04_18_2024_W2_F_AppleSauce1_P_1,9.2123,0.23694,0.79411
03_04_2024_S_L_FruitsLong_F_1,null,null,null
04_04_2024_W2_C_Candy_P_3,10.70977,0.34197,0.77731
04_04_2024_W_C_Sugar_P_2,6.01136,0.00629,1.02755
04_04_2024_W2_C_Bread3_P_2,13.47783,0.38938,0.68026
04_18_2024_W_F_Apples2_F_1,13.38698,0.47524,0.66785
04_18_2024_W2_F_Cucumbers1_V_1,10.40222,0.26631,0.71877
04_18_2024_W2_F_Nuts_P_2,null,null,null
04_19_2024_W4_F_Greens2_V_1,13.02645,0.2724,0.6632
04_18_2024_W3_F_Limes1_F_1,11.71772,0.36207,0.7073
04_18_2024_W3_F_Oils_P_2,6.30151,0.03275,0.99626
04_04_2024_W2_C_Melons1_F_1,15.66652,0.48291,0.59736
04_18_2024_W3_F_Lemons1_F_1,14.2179,0.45955,0.69863
