folder,psnr,ssim,lpips
04_19_2024_S2_F_Juice1_P_1,9.73663,0.06214,0.67189
04_18_2024_W3_F_Peppers1_F_1,11.69981,0.16197,0.50842
04_18_2024_W_F_Syrup1_P_1,10.17912,0.10857,0.5387
03_21_2024_W_L_Chips1_P_1,12.3746,0.15202,0.46023
04_18_2024_W3_F_Juice_P_3,9.78906,0.0646,0.71578
04_04_2024_S_C_Pears1_F_1,12.1635,0.21752,0.57615
04_18_2024_W_F_PeanutButter_P_3,9.8824,0.05241,0.72576
03_04_2024_S_L_SparklingWater_P_1,13.39715,0.16138,0.3623
04_18_2024_W3_F_Flour_P_2,10.58601,0.12202,0.62937
04_19_2024_S2_F_PastaSauce_P_2,10.3843,0.08566,0.76171
04_18_2024_W_F_Pickles_P_2,10.39082,0.10119,0.65999
04_18_2024_W3_F_Chips_P_2,10.56873,0.08377,0.58548
04_04_2024_W_C_Apples3_F_1,13.03601,0.17466,0.3671
04_04_2024_W_C_Ketchup_P_3,9.559,0.06371,0.6822
04_19_2024_S2_F_Drinks_P_2,10.20648,0.08151,0.69224
04_18_2024_W2_F_Pears1_F_1,13.2179,0.19336,0.39867
04_04_2024_W_C_Coffee_P_2,11.8139,0.16345,0.43047
04_18_2024_W_F_Asparagus1_V_1,12.21056,0.10123,0.51536
03_04_2024_S_L_Onions1_V_1,12.58298,0.17929,0.47102
04_18_2024_W_F_Cans6_P_2,10.72213,0.08679,0.52291
04_04_2024_W_C_Sauce_P_3,9.93494,0.07903,0.62891
03_04_2024_S_L_Nuts_P_2,13.70858,0.16833,0.43794
04_18_2024_W2_F_Oranges1_F_1,12.83685,0.14328,0.48468
04_19_2024_W4_F_Apples1_F_1,10.84248,0.12232,0.61838
04_18_2024_W2_F_AppleJuice_P_3,10.09622,0.09181,0.71528
04_18_2024_W3_F_Chilli_P_3,9.21868,0.04984,0.72963
03_04_2024_S_L_ApplesLong_F_1,12.65448,0.15061,0.47487
03_21_2024_W_L_Candy2_P_2,10.87403,0.10848,0.55798
04_04_2024_W_C_GranolaBars3_P_2,11.80693,0.12975,0.52814
04_18_2024_W_F_PastaSauce5_P_2,10.35602,0.06842,0.59623
03_21_2024_W_L_Oil1_P_1,10.21563,0.04875,0.57692
04_04_2024_W2_C_Tomatoes2_F_1,12.03604,0.11802,0.51033
04_18_2024_W3_F_Apples2_F_1,11.43337,0.0919,0.53833
04_04_2024_W2_C_Chips_P_3,9.86744,0.07906,0.6994
04_18_2024_W_F_Mangoes1_F_1,13.82453,0.24772,0.33742
04_18_2024_W3_F_BBQSauce_P_3,9.16962,0.04731,0.68781
03_21_2024_W_L_Melons1_F_1,13.47347,0.27351,0.39108
04_18_2024_W_F_RedOnions1_V_1,11.91549,0.11024,0.48642
04_19_2024_S2_F_Juice2_P_1,9.75074,0.05708,0.65659
04_18_2024_W2_F_Cans3_P_2,10.23364,0.09383,0.57507
04_04_2024_W_C_Ranch_P_3,10.35066,0.05641,0.67801
04_18_2024_W2_F_Apples3_F_1,11.91895,0.17373,0.46984
04_19_2024_S2_F_Chips_P_3,10.51893,0.06533,0.70232
04_18_2024_W3_F_CanFruits_P_3,9.65532,0.06721,0.7209
04_04_2024_W2_C_PeanutButter_P_3,10.09096,0.08262,0.69379
04_19_2024_W4_F_Chips_P_3,10.72083,0.09417,0.74677
03_21_2024_W_L_Cucumbers_F_2,10.96901,0.0972,0.52347
04_18_2024_W2_F_Cans2_P_2,10.45741,0.08664,0.64716
04_19_2024_S2_F_Oranges1_F_1,11.96251,0.1335,0.53218
03_07_2024_S_L_Apples3_F_2,11.59792,0.12906,0.64552
03_21_2024_W_L_Pears1_F_1,12.43021,0.1736,0.43508
04_04_2024_W2_C_Alfredo_P_3,10.29147,0.07024,0.67394
04_19_2024_S2_F_Apples2_F_1,11.42464,0.10825,0.54014
04_18_2024_W2_F_Coffee2_P_3,9.59811,0.068,0.70039
03_21_2024_W_L_Radish_V_2,12.68383,0.1816,0.41158
04_19_2024_S2_F_Onions2_V_1,11.19547,0.13589,0.52093
04_04_2024_W2_C_PastaSauce_P_2,10.19163,0.08971,0.73793
04_04_2024_W2_C_Cans_P_2,11.30295,0.14031,0.63162
04_04_2024_W_C_GranolaBars2_P_2,10.7817,0.08977,0.62752
04_18_2024_W2_F_HotSauce1_P_1,10.43088,0.11049,0.59494
04_04_2024_W_C_Coffee4_P_2,10.71326,0.10438,0.56736
04_18_2024_W2_F_Radish1_V_1,11.28069,0.10732,0.53929
04_19_2024_W_F_Oils_P_2,12.59975,0.10961,0.48312
04_19_2024_W4_F_Pears1_F_1,10.50524,0.12252,0.62436
03_07_2024_S_L_Various_V_2,13.64748,0.20879,0.37384
04_04_2024_W2_C_Potatoes1_V_1,12.40569,0.15186,0.55826
04_04_2024_W_C_Onions1_V_1,12.65381,0.1893,0.45623
04_18_2024_W2_F_Mangoes1_F_1,12.20269,0.1498,0.51491
04_19_2024_S2_F_Mayo_P_2,10.32749,0.07259,0.6552
03_21_2024_W_L_Pastasauce_P_2,10.25878,0.09758,0.52121
04_19_2024_W4_F_Nectarines1_F_1,12.04207,0.12528,0.48872
04_18_2024_W3_F_HotSauce_P_3,9.27173,0.07704,0.71436
04_18_2024_W2_F_AppleSauce1_P_1,9.89282,0.076,0.6693
03_04_2024_S_L_FruitsLong_F_1,12.39493,0.10452,0.50715
04_04_2024_W2_C_Candy_P_3,10.48073,0.10209,0.72155
04_04_2024_W_C_Sugar_P_2,12.39908,0.16548,0.44945
04_04_2024_W2_C_Bread3_P_2,12.36542,0.14661,0.42326
04_18_2024_W_F_Apples2_F_1,12.15306,0.1373,0.48643
04_18_2024_W2_F_Cucumbers1_V_1,10.07598,0.0477,0.52682
04_18_2024_W2_F_Nuts_P_2,9.32866,0.06231,0.63326
04_19_2024_W4_F_Greens2_V_1,10.56828,0.0967,0.59981
04_18_2024_W3_F_Limes1_F_1,11.1712,0.09842,0.52012
04_18_2024_W3_F_Oils_P_2,9.80137,0.08362,0.60562
04_04_2024_W2_C_Melons1_F_1,11.67289,0.19109,0.58946
