folder,psnr,ssim,lpips
04_04_2024_W_C_Salsa_P_3,9.69575,0.23159,0.86188
04_04_2024_W_C_Corn1_F_1,11.52289,0.2867,0.8294
04_18_2024_W3_F_Flour_P_2,10.2616,0.32369,0.83733
04_04_2024_W2_C_Chips2_P_3,11.61763,0.28727,0.8528
04_04_2024_W2_C_Mangoes1_F_1,11.55853,0.31856,0.79972
04_18_2024_W_F_Various_P_2,11.00696,0.3453,0.81644
04_18_2024_W2_F_AppleJuice2_P_3,9.60777,0.19498,0.88832
04_04_2024_W_C_Greens1_V_1,10.67793,0.23875,0.84199
04_19_2024_S2_F_Spices_P_3,9.55691,0.22592,0.8837
04_18_2024_W2_F_Oil_P_3,10.17236,0.29025,0.8598
04_18_2024_W3_F_Sauce1_P_1,9.27862,0.20928,0.86303
04_18_2024_W_F_Oranges1_F_1,12.92905,0.37749,0.76131
04_18_2024_W2_F_Potatoes1_V_1,11.58835,0.36056,0.77999
04_04_2024_S_C_Mayo_P_2,10.73235,0.2658,0.92682
04_04_2024_S_C_Lemons1_F_1,12.33596,0.44357,0.75671
03_21_2024_W_L_PastaSauce1_P_1,10.8837,0.26659,0.7844
04_04_2024_W_C_Apples3_F_1,13.12622,0.35669,0.69526
04_18_2024_W3_F_Avacados1_F_1,11.39436,0.24352,0.79583
04_19_2024_W_F_Bread_P_2,9.75916,0.27834,0.87251
03_21_2024_W_L_Cantaloupes_F_2,12.59896,0.34977,0.75933
04_19_2024_W4_F_Juices_P_3,9.82984,0.19652,0.92387
04_19_2024_S2_F_Onions3_V_1,11.13772,0.297,0.78778
04_19_2024_S2_F_Vinegar_P_3,9.92237,0.23122,0.86562
04_18_2024_W_F_MacAndCheese1_P_1,10.12363,0.26699,0.83891
04_18_2024_W3_F_Cereal_P_2,9.18492,0.25891,0.87601
04_04_2024_W_C_Sugar_P_2,12.31532,0.34936,0.77099
04_04_2024_W2_C_PotatoesLong1_V_1,10.96104,0.34912,0.79469
04_18_2024_W_F_Chips2_P_3,9.7381,0.21093,0.86731
04_04_2024_S_C_Sauce_P_3,10.14921,0.20675,0.88208
04_18_2024_W_F_Cans3_P_2,10.80125,0.29833,0.8313
03_07_2024_S_L_OrangesLong1_F_1,12.18101,0.31571,0.79675
04_18_2024_W3_F_Pears1_F_1,11.70072,0.33893,0.78556
03_04_2024_S_L_ChipsSalsa2_P_1,14.10281,0.28988,0.60074
03_04_2024_S_L_Nuts_P_2,13.21799,0.2468,0.77457
03_04_2024_S_L_Apples_F_2,12.3453,0.31893,0.79
04_04_2024_S_C_Various2_V_2,11.30761,0.31907,0.80477
04_18_2024_W2_F_Apples3_F_1,11.94367,0.37702,0.73377
04_18_2024_W_F_Jam_P_3,10.03896,0.15275,0.91669
04_04_2024_W2_C_Chips4_P_3,11.01797,0.22817,0.85186
04_19_2024_S2_F_Greens1_V_1,11.20911,0.27489,0.78051
04_04_2024_W_C_Ketchup_P_3,9.52853,0.24859,0.86693
03_21_2024_W_L_Cookies1_P_1,12.11267,0.30016,0.7872
04_18_2024_W2_F_Apples4_F_1,11.37905,0.26015,0.75232
04_18_2024_W2_F_Coffee_P_3,9.81536,0.20014,0.91545
03_21_2024_W_L_Peppers_F_2,11.9519,0.28802,0.76218
04_04_2024_S_C_Apples2_F_1,13.53604,0.49993,0.68282
04_18_2024_W_F_Oil_P_3,10.52816,0.25512,0.87459
04_18_2024_W2_F_Candy2_P_2,9.6151,0.2501,0.87063
04_04_2024_W_C_Coffee3_P_2,11.20612,0.36384,0.82423
04_18_2024_W2_F_PeanutButter_P_3,9.38237,0.21109,0.88591
04_04_2024_W_C_Tomatoes2_F_1,12.29094,0.35374,0.73581
04_18_2024_W_F_Coconuts1_F_1,11.73246,0.4507,0.80959
03_04_2024_S_L_Greens1_V_1,13.26559,0.23377,0.68988
04_19_2024_S2_F_Oranges1_F_1,11.93714,0.36314,0.79261
03_21_2024_W_L_Spices1_P_1,10.79647,0.23083,0.7494
04_04_2024_S_C_Cantaloupe_F_2,12.32706,0.46195,0.78254
04_04_2024_W_C_Coffee2_P_2,10.71613,0.23816,0.79974
04_04_2024_W2_C_Bananas2_F_1,12.33738,0.40265,0.7283
04_04_2024_W_C_GranolaBars2_P_2,10.6193,0.26914,0.83363
04_18_2024_W_F_Spices_P_3,11.6345,0.32586,0.88486
04_04_2024_W_C_Snacks2_P_2,11.50483,0.29227,0.82327
04_19_2024_S2_F_Chips2_P_3,10.71616,0.16414,0.92094
04_19_2024_S2_F_Avacados1_F_1,10.80181,0.22421,0.78903
03_21_2024_W_L_Pickles1_P_1,10.68891,0.25082,0.76995
04_04_2024_W_C_Oranges1_F_1,12.60661,0.3667,0.72281
04_04_2024_W2_C_SourCream_P_3,9.53892,0.20882,0.87957
04_18_2024_W3_F_Candy3_P_2,8.92215,0.2286,0.86198
04_04_2024_W2_C_Potatoes1_V_1,12.33683,0.39454,0.79455
04_18_2024_W2_F_TomatoCans1_P_1,10.24852,0.18163,0.89952
04_18_2024_W3_F_CanSoup2_P_3,10.16347,0.19899,0.92093
04_18_2024_W2_F_OliveOil_P_3,9.11258,0.29432,0.87097
03_21_2024_W_L_Chips_P_2,10.31296,0.19293,0.80428
04_18_2024_W_F_Candy_P_3,10.04265,0.23332,0.89099
04_04_2024_W_C_Mangoes2_F_1,14.70563,0.41429,0.58843
04_19_2024_S2_F_Onions1_V_1,11.02836,0.33135,0.78193
04_04_2024_S_C_Coffee2_P_3,10.83898,0.24154,0.87032
04_18_2024_W_F_Apples4_F_1,12.73361,0.3605,0.72901
04_19_2024_S2_F_Melons1_F_1,11.84593,0.4179,0.81034
04_19_2024_S2_F_Salsa_P_2,10.26997,0.19271,0.84999
04_04_2024_W_C_Coffee_P_2,11.62586,0.33026,0.75098
04_04_2024_W_C_CannedPeas_P_3,10.55074,0.246,0.85149
04_18_2024_W3_F_Alfredo1_P_1,9.60159,0.22791,0.87174
04_18_2024_W3_F_Tomatoes1_F_1,12.49249,0.29759,0.76275
04_19_2024_W4_F_CanBeans2_P_3,9.82223,0.25846,0.88908
03_21_2024_W_L_Nuts1_P_1,11.36519,0.30381,0.76177
04_18_2024_W2_F_PastaSauce2_P_1,9.959,0.21684,0.9116
04_04_2024_S_C_Apples_P_3,11.01255,0.26682,0.86485
04_19_2024_S2_F_PastaSauce_P_2,10.89532,0.21719,0.90497
04_18_2024_W2_F_Plantains1_F_1,12.06798,0.41647,0.81774
04_18_2024_W2_F_Pringles_P_2,9.469,0.23242,0.85683
04_18_2024_W_F_Bread2_P_3,10.79086,0.19099,0.8813
04_18_2024_W2_F_Random_P_3,10.01883,0.29245,0.86585
04_18_2024_W2_F_Cans_P_2,10.00132,0.24558,0.8456
04_04_2024_W_C_Sauce2_P_3,9.40358,0.18776,0.87093
04_04_2024_W_C_Ranch_P_3,10.16501,0.21837,0.88094
03_04_2024_S_L_FruitsLong_F_1,12.12479,0.24829,0.80239
04_04_2024_NG_C_PeanutButter_P_2,10.84726,0.28196,0.8275
04_19_2024_S2_F_Jam1_P_1,9.68172,0.17194,0.87856
04_18_2024_W3_F_PastaSauce1_P_1,10.13239,0.21692,0.83638
03_21_2024_W_L_Candy_P_2,10.80515,0.25382,0.7658
04_18_2024_W2_F_Juice_P_3,9.9188,0.23461,0.91648
04_04_2024_S_C_Sauces_P_2,10.93664,0.25237,0.7621
04_18_2024_W3_F_Bananas2_F_1,12.80922,0.44022,0.7604
04_04_2024_W2_C_Candy2_P_3,10.89646,0.2016,0.92847
04_18_2024_W3_F_CanSoup_P_3,9.92709,0.21622,0.88321
04_19_2024_W4_F_RedOnions1_V_1,10.90211,0.28256,0.782
04_04_2024_W_C_GranolaBars3_P_2,11.45598,0.27626,0.81444
04_18_2024_W2_F_Cans2_P_2,10.6664,0.24954,0.86884
03_21_2024_W_L_Apples_F_2,12.12653,0.34269,0.71023
03_04_2024_S_L_Greens_V_2,13.11014,0.30102,0.74296
04_18_2024_W_F_Broccoli1_V_1,12.84931,0.27843,0.76416
04_18_2024_W2_F_Candy_P_2,10.19436,0.23919,0.842
03_21_2024_W_L_Pastasauce_P_2,10.18433,0.22259,0.80741
04_19_2024_S2_F_Chips5_P_3,10.11415,0.21602,0.87595
04_19_2024_W4_F_Salsa_P_3,8.8307,0.20961,0.90032
03_07_2024_S_L_Apples3_F_2,11.4528,0.34468,0.8428
03_21_2024_W_L_Plantains1_F_1,13.3557,0.43977,0.63585
04_04_2024_W2_C_Tea_P_3,9.97661,0.2719,0.84258
04_18_2024_W2_F_Candy5_P_2,9.82477,0.21965,0.83893
04_19_2024_W4_F_Random_P_3,9.80744,0.24643,0.88373
04_04_2024_S_C_Oranges1_F_1,13.96042,0.4998,0.65824
04_18_2024_W2_F_Cans3_P_2,10.0647,0.25928,0.82396
04_04_2024_W2_C_Lemons1_F_1,13.49504,0.34374,0.7138
04_19_2024_W4_F_Onions2_V_1,12.13068,0.39961,0.78903
04_18_2024_W_F_Cans5_P_2,10.54607,0.21448,0.79592
04_18_2024_W3_F_Coffee_P_2,9.83093,0.26323,0.84524
04_18_2024_W3_F_Oils3_P_2,9.05275,0.26551,0.85602
04_04_2024_W_C_Melons1_F_1,11.70773,0.38598,0.77266
04_18_2024_W2_F_Vinegar_P_3,9.78966,0.29584,0.87215
03_04_2024_S_L_Onions1_V_1,12.33011,0.31658,0.76453
04_04_2024_S_C_Chips2_P_1,10.08451,0.21697,0.85968
03_04_2024_S_L_Onions_V_2,12.2821,0.32702,0.80443
04_18_2024_W2_F_Apples2_F_1,12.34407,0.31826,0.73677
04_19_2024_W4_F_Greens2_V_1,10.38762,0.22306,0.80922
04_18_2024_W_F_Asparagus1_V_1,12.03022,0.23588,0.79204
04_04_2024_W_C_Greens3_V_1,11.80038,0.27805,0.73634
04_18_2024_W3_F_Apples1_F_1,11.60864,0.3002,0.80745
04_04_2024_W2_C_Apples1_F_1,12.15311,0.34573,0.77792
04_19_2024_S2_F_Oil1_P_1,10.24374,0.2112,0.86727
04_18_2024_W3_F_Powerade_P_3,9.25907,0.20426,0.87184
04_18_2024_W3_F_Juice_P_3,9.81981,0.19922,0.90943
03_21_2024_W_L_Nectarines2_F_1,12.9546,0.25688,0.70494
04_18_2024_W2_F_Pickles_P_2,9.63771,0.19939,0.91651
04_18_2024_W3_F_Chilli_P_3,9.4798,0.19817,0.89743
04_18_2024_W_F_Snacks_P_3,10.09293,0.17709,0.90065
04_18_2024_W2_F_Radish1_V_1,11.38027,0.25379,0.78098
04_04_2024_W2_C_Oil2_P_3,10.37038,0.27467,0.8617
04_18_2024_W2_F_AppleSauce1_P_1,10.02836,0.23425,0.87132
04_19_2024_W_F_Dressings_P_2,9.54021,0.22499,0.86928
04_04_2024_W_C_Pineapples1_F_1,11.39198,0.25024,0.84675
04_04_2024_W_C_CakeBatter_P_2,10.80805,0.28611,0.78765
04_18_2024_W3_F_AppleJuice_P_3,9.33254,0.24304,0.86779
04_04_2024_S_C_Potatoes_V_2,12.05516,0.45632,0.71721
04_04_2024_W2_C_Sauce_P_2,10.64554,0.27271,0.80803
04_04_2024_NG_C_Oats_P_3,10.59306,0.20709,0.90268
04_18_2024_W2_F_Melons1_F_1,13.00938,0.32976,0.77139
04_19_2024_W4_F_Pineapples1_F_1,11.5912,0.24557,0.80601
04_18_2024_W3_F_Cans_P_2,9.82383,0.24453,0.86962
04_04_2024_W2_C_Oranges1_F_1,13.52763,0.38262,0.7061
04_18_2024_W_F_Tomatoes1_F_1,11.85253,0.29784,0.76107
04_18_2024_W2_F_Peppers1_F_1,11.23813,0.30233,0.79865
04_04_2024_W_C_Onions2_V_1,12.65337,0.36963,0.73942
04_04_2024_W2_C_Ranch_P_2,10.2914,0.28013,0.84528
04_04_2024_W_C_Avocados1_F_1,11.58842,0.24581,0.74743
04_19_2024_W4_F_Plantains1_F_1,12.23913,0.39024,0.77696
03_07_2024_S_L_Organic1_F_1,13.95637,0.29677,0.63175
04_19_2024_W4_F_Watermelons1_F_1,12.09687,0.36948,0.78116
04_18_2024_W_F_Ranch_P_2,10.39677,0.26382,0.75199
04_18_2024_W3_F_Salsa1_P_1,9.11271,0.22239,0.86771
04_18_2024_W3_F_Nectarines1_F_1,11.09425,0.30072,0.8189
03_04_2024_S_L_Flowers_F_1,12.0474,0.25841,0.76871
04_18_2024_W_F_Plantains1_F_1,13.13928,0.4304,0.76456
04_04_2024_W_C_Oils2_P_3,9.80457,0.22219,0.87643
04_18_2024_W_F_Bananas1_F_1,11.2572,0.32956,0.77815
04_04_2024_W_C_Bread2_P_2,11.1745,0.30427,0.81993
03_07_2024_S_L_ChipsSalsa1_P_1,10.37123,0.13193,0.90091
04_19_2024_W4_F_Avacados1_F_1,11.72769,0.26397,0.7508
04_19_2024_S2_F_Juice2_P_1,9.88257,0.18459,0.85376
04_18_2024_W_F_Spices1_P_1,9.23591,0.20482,0.87612
04_18_2024_W2_F_Snacks_P_2,10.19482,0.23527,0.83506
04_19_2024_W_F_Pickles_P_2,9.36433,0.27236,0.84404
04_19_2024_W_F_Jelly_P_2,9.77655,0.24235,0.84713
04_18_2024_W_F_Apples2_F_1,12.10588,0.35866,0.78844
04_04_2024_W2_C_Beans_P_3,10.40998,0.23023,0.90423
04_18_2024_W2_F_PastaSauce1_P_1,9.73241,0.22177,0.87114
04_18_2024_W3_F_Grapefruits1_F_1,12.50372,0.39889,0.75081
04_04_2024_W2_C_Cucumbers2_V_1,10.63698,0.24904,0.81888
03_04_2024_S_L_Peppers_V_2,13.36016,0.30639,0.76401
04_18_2024_W2_F_Coffee4_P_3,10.78563,0.30367,0.88035
04_04_2024_W_C_Chips_P_2,11.50537,0.20696,0.71471
04_19_2024_W4_F_Pears1_F_1,10.96353,0.32238,0.81813
03_21_2024_W_L_Apples1_F_1,13.62074,0.34472,0.67666
04_19_2024_W4_F_Lemons1_F_1,12.95796,0.41728,0.71252
04_04_2024_W2_C_Pineapples1_F_1,11.47714,0.19572,0.82096
04_18_2024_W_F_Oils_P_2,10.44898,0.28258,0.84288
03_07_2024_S_L_Apples1_F_1,12.70056,0.31342,0.67384
04_04_2024_S_C_Exotic_F_2,11.47709,0.40795,0.80906
04_18_2024_W2_F_Jam1_P_1,9.50916,0.19517,0.85607
03_21_2024_W_L_Candy1_P_1,11.74458,0.35538,0.80345
04_04_2024_W_C_Boxes_P_2,9.20023,0.15562,0.6907
04_18_2024_W2_F_Mangoes1_F_1,12.28565,0.34438,0.7923
04_18_2024_W2_F_Pineapples1_F_1,11.50017,0.16084,0.7965
04_18_2024_W3_F_Nuts_P_2,9.18591,0.19197,0.83806
04_19_2024_W4_F_Gourds1_F_1,12.65528,0.40758,0.75705
04_04_2024_W2_C_AppleJuice_P_3,10.44465,0.25293,0.87118
