folder,psnr,ssim,lpips
04_04_2024_W_C_Salsa_P_3,6.62673,0.02079,1.00024
04_04_2024_W_C_Corn1_F_1,11.2905,0.18082,0.62379
04_18_2024_W3_F_Flour_P_2,10.49841,0.22392,0.70982
04_04_2024_W2_C_Chips2_P_3,11.13127,0.13599,0.66887
04_04_2024_W2_C_Mangoes1_F_1,13.34667,0.25948,0.58994
04_18_2024_W_F_Various_P_2,5.74697,0.01054,1.01866
04_18_2024_W2_F_AppleJuice2_P_3,5.99476,0.00474,0.99882
04_04_2024_W_C_Greens1_V_1,null,null,null
04_19_2024_S2_F_Spices_P_3,8.93696,0.13851,0.76179
04_18_2024_W2_F_Oil_P_3,9.24982,0.16576,0.75342
04_18_2024_W3_F_Sauce1_P_1,8.63805,0.14872,0.74058
04_18_2024_W_F_Oranges1_F_1,13.16341,0.35359,0.64295
04_18_2024_W2_F_Potatoes1_V_1,13.6393,0.30829,0.60873
04_04_2024_S_C_Mayo_P_2,12.4043,0.35573,0.79487
04_04_2024_S_C_Lemons1_F_1,6.36897,0.049,1.04543
03_21_2024_W_L_PastaSauce1_P_1,12.99474,0.27961,0.64362
04_04_2024_W_C_Apples3_F_1,14.41513,0.34043,0.57094
04_18_2024_W3_F_Avacados1_F_1,11.64362,0.19608,0.64971
04_19_2024_W_F_Bread_P_2,5.86099,0.00954,1.00588
03_21_2024_W_L_Cantaloupes_F_2,14.04477,0.31354,0.66694
04_19_2024_W4_F_Juices_P_3,9.11098,0.17552,0.79602
04_19_2024_S2_F_Onions3_V_1,12.48201,0.22715,0.65011
04_19_2024_S2_F_Vinegar_P_3,9.58884,0.12661,0.71727
04_18_2024_W_F_MacAndCheese1_P_1,5.9424,0.00959,1.03199
04_18_2024_W3_F_Cereal_P_2,9.57329,0.19605,0.73167
04_04_2024_W_C_Sugar_P_2,5.85617,0.00434,1.00238
04_04_2024_W2_C_PotatoesLong1_V_1,12.80154,0.32728,0.66235
04_18_2024_W_F_Chips2_P_3,9.18405,0.12731,0.73589
04_04_2024_S_C_Sauce_P_3,9.31012,0.12378,0.73776
04_18_2024_W_F_Cans3_P_2,11.80832,0.26437,0.68201
03_07_2024_S_L_OrangesLong1_F_1,12.86159,0.28705,0.68864
04_18_2024_W3_F_Pears1_F_1,13.65941,0.30802,0.59256
03_04_2024_S_L_ChipsSalsa2_P_1,7.40381,0.00772,0.8058
03_04_2024_S_L_Nuts_P_2,15.47393,0.31407,0.62333
03_04_2024_S_L_Apples_F_2,12.91184,0.24624,0.6452
04_04_2024_S_C_Various2_V_2,12.45397,0.26352,0.63923
04_18_2024_W2_F_Apples3_F_1,12.85018,0.33443,0.63612
04_18_2024_W_F_Jam_P_3,8.78468,0.12468,0.72722
04_04_2024_W2_C_Chips4_P_3,6.79164,0.00519,1.02136
04_19_2024_S2_F_Greens1_V_1,10.51348,0.21684,0.73652
04_04_2024_W_C_Ketchup_P_3,9.21799,0.14287,0.73869
03_21_2024_W_L_Cookies1_P_1,12.25329,0.25188,0.66594
04_18_2024_W2_F_Apples4_F_1,11.24436,0.1899,0.63463
04_18_2024_W2_F_Coffee_P_3,9.3396,0.16034,0.66029
03_21_2024_W_L_Peppers_F_2,11.66547,0.18437,0.6008
04_04_2024_S_C_Apples2_F_1,15.3246,0.47878,0.51818
04_18_2024_W_F_Oil_P_3,10.05359,0.16256,0.72294
04_18_2024_W2_F_Candy2_P_2,9.61271,0.17549,0.76914
04_04_2024_W_C_Coffee3_P_2,6.64774,0.00838,0.99831
04_18_2024_W2_F_PeanutButter_P_3,8.90787,0.15288,0.74457
04_04_2024_W_C_Tomatoes2_F_1,null,null,null
04_18_2024_W_F_Coconuts1_F_1,12.37894,0.31632,0.61269
03_04_2024_S_L_Greens1_V_1,8.50817,0.00295,0.84727
04_19_2024_S2_F_Oranges1_F_1,12.84111,0.3321,0.66493
03_21_2024_W_L_Spices1_P_1,11.95435,0.24353,0.62689
04_04_2024_S_C_Cantaloupe_F_2,13.37448,0.39452,0.61297
04_04_2024_W_C_Coffee2_P_2,11.35038,0.19452,0.69079
04_04_2024_W2_C_Bananas2_F_1,13.18764,0.34919,0.59823
04_04_2024_W_C_GranolaBars2_P_2,10.65932,0.20434,0.74675
04_18_2024_W_F_Spices_P_3,8.94936,0.16341,0.63243
04_04_2024_W_C_Snacks2_P_2,null,null,null
04_19_2024_S2_F_Chips2_P_3,9.58382,0.131,0.72716
04_19_2024_S2_F_Avacados1_F_1,null,null,null
03_21_2024_W_L_Pickles1_P_1,10.67718,0.21054,0.69948
04_04_2024_W_C_Oranges1_F_1,14.4692,0.40759,0.55108
04_04_2024_W2_C_SourCream_P_3,9.04633,0.1693,0.79624
04_18_2024_W3_F_Candy3_P_2,8.9894,0.1705,0.75426
04_04_2024_W2_C_Potatoes1_V_1,14.19914,0.3182,0.67113
04_18_2024_W2_F_TomatoCans1_P_1,9.56975,0.1525,0.77631
04_18_2024_W3_F_CanSoup2_P_3,9.30515,0.15166,0.74132
04_18_2024_W2_F_OliveOil_P_3,6.9013,0.04755,0.98571
03_21_2024_W_L_Chips_P_2,11.2886,0.17334,0.65637
04_18_2024_W_F_Candy_P_3,9.86586,0.16583,0.70869
04_04_2024_W_C_Mangoes2_F_1,17.06455,0.49319,0.43658
04_19_2024_S2_F_Onions1_V_1,10.93547,0.2397,0.73247
04_04_2024_S_C_Coffee2_P_3,9.76176,0.14358,0.73857
04_18_2024_W_F_Apples4_F_1,null,null,null
04_19_2024_S2_F_Melons1_F_1,12.53461,0.30242,0.64973
04_19_2024_S2_F_Salsa_P_2,10.01531,0.15777,0.71018
04_04_2024_W_C_Coffee_P_2,6.16551,0.01378,1.00904
04_04_2024_W_C_CannedPeas_P_3,null,null,null
04_18_2024_W3_F_Alfredo1_P_1,9.14317,0.16589,0.75825
04_18_2024_W3_F_Tomatoes1_F_1,13.66608,0.23584,0.56434
04_19_2024_W4_F_CanBeans2_P_3,9.21474,0.15491,0.73315
03_21_2024_W_L_Nuts1_P_1,13.0733,0.29515,0.59348
04_18_2024_W2_F_PastaSauce2_P_1,null,null,null
