folder,psnr,ssim,lpips
04_18_2024_W_F_Bread_P_3,10.39778,0.10838,0.81309
04_04_2024_S_C_Chips_P_2,10.81194,0.14092,0.72825
03_21_2024_W_L_Cereal1_P_1,11.19057,0.17784,0.59782
04_04_2024_W2_C_Apples5_F_1,11.54966,0.17987,0.64708
04_04_2024_W2_C_Grapefruits1_F_1,12.3034,0.25892,0.65269
04_04_2024_W2_C_Candy2_P_3,10.93839,0.12344,0.85103
04_04_2024_W2_C_ApplesLong1_F_1,10.46795,0.21906,0.76282
04_04_2024_W_C_PastaSauce_P_2,11.62823,0.25258,0.60656
04_18_2024_W2_F_Apples2_F_1,12.14939,0.18816,0.60196
04_04_2024_W_C_Coffee3_P_2,11.14366,0.23503,0.72819
04_04_2024_W_C_Cucumbers1_V_1,10.91265,0.13709,0.6679
04_18_2024_W_F_Cucumbers1_V_1,11.29082,0.16594,0.6256
04_04_2024_W_C_Apples4_F_1,11.74747,0.1891,0.72059
04_04_2024_S_C_Peppers2_F_1,10.38,0.18281,0.70645
03_04_2024_S_L_ChipsSalsa2_P_1,14.59072,0.27501,0.40514
04_18_2024_W2_F_Pringles_P_2,9.71054,0.13997,0.74391
04_04_2024_W2_C_Flour_P_3,10.19869,0.19614,0.81365
04_19_2024_S2_F_Chips4_P_3,9.64528,0.13246,0.82429
04_04_2024_S_C_Oranges1_F_1,13.987,0.39287,0.53971
04_04_2024_S_C_Apples1_F_1,11.87748,0.26749,0.68814
04_19_2024_W4_F_CanBeans_P_3,9.55804,0.12125,0.83635
04_18_2024_W2_F_Ketchup_P_2,9.21703,0.11784,0.75321
04_19_2024_W4_F_Apples2_F_1,11.73943,0.24742,0.68867
04_04_2024_W_C_Drinks_P_2,10.98582,0.18996,0.72552
04_18_2024_W2_F_Coffee4_P_3,10.85391,0.21113,0.83913
04_19_2024_W4_F_Lemons1_F_1,12.90192,0.31521,0.58564
04_18_2024_W3_F_Apples3_F_1,12.08773,0.21428,0.59796
04_18_2024_W3_F_Chips3_P_2,9.56552,0.11297,0.77599
04_04_2024_W_C_Boxes_P_2,9.60971,0.08943,0.54304
04_04_2024_S_C_Celery1_V_1,10.99923,0.17451,0.71591
04_19_2024_W4_F_Potatoes1_V_1,11.31291,0.24636,0.67975
04_18_2024_W3_F_GreenPeppers1_F_1,11.48904,0.17006,0.66031
04_18_2024_W2_F_Chips4_P_2,10.07655,0.13368,0.77339
04_18_2024_W3_F_Greens1_V_1,10.90459,0.14664,0.70517
03_21_2024_W_L_Spices1_P_1,10.8643,0.15239,0.59642
03_21_2024_W_L_Candy2_P_1,11.2828,0.24858,0.68111
04_18_2024_W3_F_Bagels1_P_1,9.82528,0.14955,0.75179
04_04_2024_S_C_Various_V_2,11.53957,0.2066,0.72323
03_21_2024_W_L_Syrup_P_2,9.41967,0.14123,0.66936
04_04_2024_W_C_Oil_P_3,10.6387,0.14152,0.77992
04_19_2024_W_F_Coffee_P_2,10.56768,0.15725,0.73939
04_19_2024_W_F_Spices_P_2,9.72357,0.14117,0.6902
04_18_2024_W_F_Jam_P_3,9.96087,0.08126,0.81559
03_04_2024_S_L_Bananas_F_2,11.96072,0.20127,0.73479
04_18_2024_W2_F_Potatoes1_V_1,11.3388,0.22614,0.6685
04_04_2024_S_C_OrangesLong2_F_1,11.32791,0.22282,0.77261
04_18_2024_W_F_Apples3_F_1,12.58072,0.23306,0.58051
04_19_2024_S2_F_Apples_F_2,11.55878,0.27531,0.7133
04_19_2024_W4_F_Melons1_F_1,11.32436,0.28795,0.70097
04_04_2024_NG_C_Chips_P_2,11.37208,0.14894,0.72076
03_21_2024_W_L_Apples3_F_2,12.33699,0.23636,0.54182
04_18_2024_W2_F_Bread1_P_1,10.28661,0.1279,0.73026
04_19_2024_S2_F_Bananas1_F_1,11.28478,0.17362,0.67083
04_04_2024_NG_C_Gourds1_V_1,11.32102,0.2574,0.72811
04_04_2024_W2_C_Apples3_F_1,11.28472,0.14365,0.64684
04_04_2024_W_C_DriedFruits_P_2,11.27196,0.21977,0.66114
04_18_2024_W_F_Avacados1_F_1,11.30014,0.16295,0.63799
04_04_2024_W2_C_Chips3_P_3,10.8249,0.13387,0.7702
04_18_2024_W_F_Nuts1_P_1,9.45688,0.19153,0.76346
04_04_2024_W2_C_RedOnions1_V_1,11.69399,0.19914,0.57751
