folder,psnr,ssim,lpips
03_21_2024_W_L_Radish_V_2,12.47478,0.32924,0.62229
03_21_2024_W_L_Ranch1_P_1,13.01361,0.40791,0.80892
03_21_2024_W_L_Ranch_P_2,11.37103,0.3218,0.68958
03_21_2024_W_L_Spices1_P_1,10.57247,0.28288,0.73662
03_21_2024_W_L_Syrup1_P_1,11.2471,0.31046,0.66962
03_21_2024_W_L_Syrup_P_2,9.32686,0.27666,0.78973
03_21_2024_W_L_Tomatoes_F_2,14.04132,0.45595,0.6186
04_04_2024_NG_C_Bananas1_F_1,13.16407,0.47235,0.64554
04_04_2024_NG_C_Broth_P_2,6.20155,0.01149,1.0447
04_04_2024_NG_C_Chips_P_2,5.72497,0.01586,1.05588
04_04_2024_NG_C_Fruits1_F_1,11.0475,0.34181,0.81639
04_04_2024_NG_C_Gourds1_V_1,14.04135,0.47215,0.62159
04_04_2024_NG_C_Oats_P_3,9.68795,0.27485,0.82208
04_04_2024_NG_C_Onions1_V_1,13.77392,0.52068,0.65913
04_04_2024_NG_C_PeanutButter_P_2,10.97207,0.3657,0.78483
04_04_2024_S_C_Apples1_F_1,11.66471,0.43301,0.74586
04_04_2024_S_C_Apples2_F_1,16.25961,0.60987,0.5199
04_04_2024_S_C_ApplesLong1_F_1,12.09383,0.47368,0.78741
04_04_2024_S_C_Apples_P_3,10.8733,0.30071,0.7411
04_04_2024_S_C_Bananas_F_2,10.96776,0.41823,0.74962
04_04_2024_S_C_Broccoli1_V_1,12.13049,0.25985,0.70126
04_04_2024_S_C_Cantaloupe_F_2,12.54498,0.49976,0.70183
04_04_2024_S_C_Celery1_V_1,10.79041,0.26843,0.74595
04_04_2024_S_C_Chips1_P_1,5.91361,0.01193,1.04346
04_04_2024_S_C_Chips2_P_1,5.97817,0.01032,1.05443
04_04_2024_S_C_Chips2_P_2,12.24111,0.34372,0.79569
04_04_2024_S_C_Chips3_P_1,5.92572,0.01398,1.04629
04_04_2024_S_C_Chips3_P_2,6.30094,0.02701,1.06767
04_04_2024_S_C_Chips4_P_1,11.57184,0.35728,0.99288
04_04_2024_S_C_Chips_P_2,10.08873,0.25168,0.7796
04_04_2024_S_C_Coffee2_P_3,10.12185,0.27416,0.82596
04_04_2024_S_C_Coffee_P_3,9.52741,0.29692,0.81496
04_04_2024_S_C_Exotic_F_2,11.55799,0.45447,0.76413
04_04_2024_S_C_Gourds1_V_1,13.53056,0.51808,0.63959
04_04_2024_S_C_Greens_V_2,6.86138,0.01808,1.02598
04_04_2024_S_C_Ketchup_P_2,11.99745,0.42838,0.69952
04_04_2024_S_C_Lemons1_F_1,6.34782,0.05849,1.04252
04_04_2024_S_C_Mayo_P_2,11.79201,0.47395,0.83638
04_04_2024_S_C_Oil_P_3,8.84374,0.25131,0.81094
04_04_2024_S_C_Oranges1_F_1,16.33607,0.64167,0.56579
04_04_2024_S_C_OrangesLong1_F_1,12.87851,0.53571,0.76528
04_04_2024_S_C_OrangesLong2_F_1,11.2534,0.40067,0.75877
04_04_2024_S_C_PeanutButter_P_3,9.99383,0.3293,0.82374
