scene_folder_name, images_count
04_04_2024_S_C_Sauces_P_2,305
04_04_2024_S_C_Various2_V_2,246
04_04_2024_S_C_Various_F_2,288
04_04_2024_S_C_Various_V_2,279
04_04_2024_W2_C_Alfredo_P_3,274
04_04_2024_W2_C_AppleJuice_P_3,285
04_04_2024_W2_C_Apples1_F_1,223
04_04_2024_W2_C_Apples2_F_1,251
04_04_2024_W2_C_Apples3_F_1,252
04_04_2024_W2_C_Apples5_F_1,263
04_04_2024_W2_C_ApplesLong1_F_1,285
04_04_2024_W2_C_ApplesLong2_F_1,291
04_04_2024_W2_C_AvacadosLong1_F_1,267
04_04_2024_W2_C_Bananas2_F_1,236
04_04_2024_W2_C_BananasLong1_F_1,256
04_04_2024_W2_C_Beans_P_3,295
04_04_2024_W2_C_Bread2_P_2,264
04_04_2024_W2_C_Bread3_P_2,265
04_04_2024_W2_C_Bread_P_2,276
04_04_2024_W2_C_Candy2_P_3,300
04_04_2024_W2_C_Candy_P_3,300
04_04_2024_W2_C_Cans_P_2,248
04_04_2024_W2_C_Chips2_P_3,268
04_04_2024_W2_C_Chips3_P_3,276
04_04_2024_W2_C_Chips4_P_3,280
04_04_2024_W2_C_Chips5_P_3,288
04_04_2024_W2_C_Chips6_P_3,289
04_04_2024_W2_C_Chips_P_3,299
04_04_2024_W2_C_Coffee_P_3,294
04_04_2024_W2_C_Cucumbers1_V_1,267
04_04_2024_W2_C_Cucumbers2_V_1,204
04_04_2024_W2_C_Flour_P_3,278
04_04_2024_W2_C_FruitsLong1_F_1,289
04_04_2024_W2_C_Gourds1_V_1,268
04_04_2024_W2_C_Grapefruits1_F_1,205
04_04_2024_W2_C_Juice_P_2,290
04_04_2024_W2_C_Juice_P_3,305
04_04_2024_W2_C_Ketchup_P_3,305
04_04_2024_W2_C_Lemons1_F_1,303
04_04_2024_W2_C_Mangoes1_F_1,224
04_04_2024_W2_C_Mayo_P_2,310
04_04_2024_W2_C_Melons1_F_1,230
04_04_2024_W2_C_Oil2_P_3,300
04_04_2024_W2_C_Oil_P_3,300
04_04_2024_W2_C_Onions1_V_1,232
04_04_2024_W2_C_Oranges1_F_1,288
04_04_2024_W2_C_PastaSauce_P_2,282
04_04_2024_W2_C_PeanutButter_P_3,275
04_04_2024_W2_C_Peppers1_F_1,270
04_04_2024_W2_C_Pickles_P_3,300
04_04_2024_W2_C_Pineapples1_F_1,309
04_04_2024_W2_C_Plantains1_F_1,274
04_04_2024_W2_C_Potatoes1_V_1,232
04_04_2024_W2_C_Potatoes2_V_1,320
04_04_2024_W2_C_PotatoesLong1_V_1,269
04_04_2024_W2_C_PotatoesLong2_V_1,288
04_04_2024_W2_C_Ranch_P_2,262
04_04_2024_W2_C_RedOnions1_V_1,250
04_04_2024_W2_C_Sauce_P_2,294
04_04_2024_W2_C_SourCream_P_3,301
04_04_2024_W2_C_Spices_P_2,280
04_04_2024_W2_C_Tea_P_3,284
04_04_2024_W2_C_Tomatoes1_F_1,224
04_04_2024_W2_C_Tomatoes2_F_1,227
04_04_2024_W_C_Apples1_F_1,304
04_04_2024_W_C_Apples2_F_1,251
04_04_2024_W_C_Apples3_F_1,251
04_04_2024_W_C_Apples4_F_1,229
04_04_2024_W_C_Avocados1_F_1,265
04_04_2024_W_C_Beans_P_3,295
04_04_2024_W_C_Boxes_P_2,248
04_04_2024_W_C_Bread2_P_2,291
04_04_2024_W_C_Cabbage1_V_1,226
04_04_2024_W_C_CakeBatter_P_2,272
04_04_2024_W_C_CannedPeas_P_3,263
04_04_2024_W_C_Cans_P_3,300
04_04_2024_W_C_Chips_P_2,181
04_04_2024_W_C_Chips_P_3,261
04_04_2024_W_C_Coffee2_P_2,276
04_04_2024_W_C_Coffee3_P_2,268
04_04_2024_W_C_Coffee4_P_2,257
04_04_2024_W_C_Coffee_P_2,233
04_04_2024_W_C_Corn1_F_1,313
04_04_2024_W_C_Cucumbers1_V_1,285
04_04_2024_W_C_DriedFruits_P_2,320
04_04_2024_W_C_Drinks_P_2,239
04_04_2024_W_C_Flour_P_2,303
04_04_2024_W_C_FruitsLong1_F_1,278
04_04_2024_W_C_Garlic1_V_1,213
04_04_2024_W_C_GranolaBars2_P_2,297
04_04_2024_W_C_GranolaBars3_P_2,317
04_04_2024_W_C_GranolaBars_P_2,241
04_04_2024_W_C_Greens1_V_1,256
04_04_2024_W_C_Greens2_V_1,260
04_04_2024_W_C_Greens3_V_1,255
04_04_2024_W_C_Ketchup_P_3,282
04_04_2024_W_C_Lemons1_F_1,254
04_04_2024_W_C_Limes1_F_1,311
04_04_2024_W_C_Mangoes1_F_1,193
04_04_2024_W_C_Mangoes2_F_1,326
04_04_2024_W_C_Mayo_P_3,281
04_04_2024_W_C_Melons1_F_1,241
04_04_2024_W_C_Melons2_F_1,263
04_04_2024_W_C_Oil_P_3,289
04_04_2024_W_C_Oils2_P_3,300
04_04_2024_W_C_Onions1_V_1,257
04_04_2024_W_C_Onions2_V_1,299
04_04_2024_W_C_Oranges1_F_1,265
04_04_2024_W_C_PastaSauce2_P_2,262
04_04_2024_W_C_PastaSauce3_P_2,284
04_04_2024_W_C_PastaSauce4_P_2,244
04_04_2024_W_C_PastaSauce_P_2,246
04_04_2024_W_C_Peppers1_F_1,272
04_04_2024_W_C_Peppers2_F_1,326
04_04_2024_W_C_Pickles_P_3,300
04_04_2024_W_C_Pineapples1_F_1,311
04_04_2024_W_C_Ranch_P_3,300
04_04_2024_W_C_RedOnions1_V_1,274
04_04_2024_W_C_Salsa_P_3,281
04_04_2024_W_C_Sauce2_P_3,300
04_04_2024_W_C_Sauce_P_3,300
04_04_2024_W_C_Snacks2_P_2,230
04_04_2024_W_C_Snacks_P_2,273
04_04_2024_W_C_Sugar_P_2,280
04_04_2024_W_C_TomatoCans_P_3,253
04_04_2024_W_C_Tomatoes1_F_1,263
04_04_2024_W_C_Tomatoes2_F_1,264
04_04_2024_W_C_Various_P_2,246
04_04_2024_W_C_Watermelon_F_2,243
04_18_2024_W2_F_AppleJuice2_P_3,296
04_18_2024_W2_F_AppleJuice_P_3,287
04_18_2024_W2_F_AppleSauce1_P_1,276
04_18_2024_W2_F_Apples1_F_1,253
04_18_2024_W2_F_Apples2_F_1,256
04_18_2024_W2_F_Apples3_F_1,294
04_18_2024_W2_F_Apples4_F_1,251
04_18_2024_W2_F_BBQSauce2_P_2,286
04_18_2024_W2_F_BBQSauce_P_3,281
04_18_2024_W2_F_Bagels_P_3,288
04_18_2024_W2_F_Bread1_P_1,283
04_18_2024_W2_F_Bread2_P_1,285
04_18_2024_W2_F_Bread_P_3,300
04_18_2024_W2_F_Buns1_P_1,308
04_18_2024_W2_F_Candy2_P_2,275
04_18_2024_W2_F_Candy3_P_2,266
04_18_2024_W2_F_Candy4_P_2,270
04_18_2024_W2_F_Candy5_P_2,309
04_18_2024_W2_F_Candy_P_2,295
04_18_2024_W2_F_Cans2_P_2,302
04_18_2024_W2_F_Cans3_P_2,271
04_18_2024_W2_F_Cans_P_2,295
04_18_2024_W2_F_Chips2_P_2,243
04_18_2024_W2_F_Chips3_P_2,273
04_18_2024_W2_F_Chips4_P_2,266
04_18_2024_W2_F_Chips5_P_2,254
04_18_2024_W2_F_Chips_P_2,244
04_18_2024_W2_F_Coffee2_P_3,296
04_18_2024_W2_F_Coffee3_P_3,281
04_18_2024_W2_F_Coffee4_P_3,302
04_18_2024_W2_F_Coffee_P_3,300
04_18_2024_W2_F_Cucumbers1_V_1,307
04_18_2024_W2_F_Dressing_P_2,308
04_18_2024_W2_F_Flour1_P_1,305
04_18_2024_W2_F_GrapeFruit1_F_1,237
04_18_2024_W2_F_GreenPeppers1_F_1,268
04_18_2024_W2_F_Greens1_V_1,250
04_18_2024_W2_F_HotSauce1_P_1,262
04_18_2024_W2_F_Jam1_P_1,274
04_18_2024_W2_F_Juice_P_3,304
04_18_2024_W2_F_Ketchup_P_2,273
04_18_2024_W2_F_Lemons1_F_1,270
04_18_2024_W2_F_Mangoes1_F_1,298
04_18_2024_W2_F_Melons1_F_1,316
04_18_2024_W2_F_Melons2_F_1,221
04_18_2024_W2_F_Nuts_P_2,279
04_18_2024_W2_F_Oil_P_3,276
04_18_2024_W2_F_OliveOil_P_3,279
04_18_2024_W2_F_OrangeJuice_P_3,301
04_18_2024_W2_F_Oranges1_F_1,249
04_18_2024_W2_F_PastaSauce1_P_1,275
04_18_2024_W2_F_PastaSauce2_P_1,280
04_18_2024_W2_F_PeanutButter_P_3,285
04_18_2024_W2_F_Pears1_F_1,221
04_18_2024_W2_F_Peppers1_F_1,277
04_18_2024_W2_F_Pickles_P_2,273
04_18_2024_W2_F_Pineapples1_F_1,263
04_18_2024_W2_F_Plantains1_F_1,289
04_18_2024_W2_F_Potatoes1_V_1,281
04_18_2024_W2_F_Pringles_P_2,262
04_18_2024_W2_F_Radish1_V_1,270
04_18_2024_W2_F_Random_P_3,284
04_18_2024_W2_F_Salsa1_P_1,274
04_18_2024_W2_F_Snacks_P_2,255
04_18_2024_W2_F_Soup_P_3,284
04_18_2024_W2_F_Spices_P_3,300
04_18_2024_W2_F_Sugar_P_3,284
04_18_2024_W2_F_Tea_P_3,288
04_18_2024_W2_F_TomatoCans1_P_1,306
04_18_2024_W2_F_Tomatoes1_F_1,259
04_18_2024_W2_F_Vinegar_P_3,294
04_18_2024_W3_F_Alfredo1_P_1,301
04_18_2024_W3_F_AppleJuice_P_3,300
04_18_2024_W3_F_Apples1_F_1,274
04_18_2024_W3_F_Apples2_F_1,244
04_18_2024_W3_F_Apples3_F_1,275
04_18_2024_W3_F_Apples4_F_1,285
04_18_2024_W3_F_Avacados1_F_1,311
04_18_2024_W3_F_BBQSauce_P_3,300
04_18_2024_W3_F_Bagels1_P_1,270
04_18_2024_W3_F_Bananas1_F_1,242
04_18_2024_W3_F_Bananas2_F_1,300
04_18_2024_W3_F_Bread_P_2,266
04_18_2024_W3_F_Breads1_P_1,248
04_18_2024_W3_F_Buns1_P_1,281
04_18_2024_W3_F_CanFruits_P_3,287
04_18_2024_W3_F_CanSoup2_P_3,300
04_18_2024_W3_F_CanSoup_P_3,289
04_18_2024_W3_F_Candy2_P_2,300
04_18_2024_W3_F_Candy3_P_2,293
04_18_2024_W3_F_Candy_P_2,294
04_18_2024_W3_F_Cans_P_2,264
04_18_2024_W3_F_Cereal_P_2,285
04_18_2024_W3_F_Chilli_P_3,290
04_18_2024_W3_F_Chips2_P_2,299
04_18_2024_W3_F_Chips3_P_2,259
04_18_2024_W3_F_Chips_P_2,299
04_18_2024_W3_F_Coffee_P_2,311
04_18_2024_W3_F_Corn1_F_1,280
04_18_2024_W3_F_Cucumbers1_F_1,293
04_18_2024_W3_F_EnergyDrink_P_3,303
04_18_2024_W3_F_Flour_P_2,251
04_18_2024_W3_F_Gatorade2_P_3,300
04_18_2024_W3_F_Gatorade_P_3,300
04_18_2024_W3_F_Grapefruits1_F_1,262
04_18_2024_W3_F_GreenPeppers1_F_1,265
04_18_2024_W3_F_Greens1_V_1,270
04_18_2024_W3_F_Honey_P_2,279
04_18_2024_W3_F_HotSauce_P_3,274
04_18_2024_W3_F_Juice_P_3,300
04_18_2024_W3_F_Ketchup_P_3,300
04_18_2024_W3_F_Lemons1_F_1,285
04_18_2024_W3_F_Limes1_F_1,258
04_18_2024_W3_F_Mangoes1_F_1,244
04_18_2024_W3_F_Melons1_F_1,303
04_18_2024_W3_F_Nectarines1_F_1,256
04_18_2024_W3_F_Nuts_P_2,253
04_18_2024_W3_F_Oils2_P_2,276
04_18_2024_W3_F_Oils3_P_2,313
04_18_2024_W3_F_Oils_P_2,293
04_18_2024_W3_F_Onions1_V_1,238
04_18_2024_W3_F_Oranges1_F_1,236
04_18_2024_W3_F_PastaSauce1_P_1,298
04_18_2024_W3_F_PeanutButter_P_2,310
04_18_2024_W3_F_Pears1_F_1,301
04_18_2024_W3_F_Peppers1_F_1,241
04_18_2024_W3_F_Pickles_P_3,300
04_18_2024_W3_F_Pineapples1_F_1,292
04_18_2024_W3_F_Potatoes1_V_1,251
04_18_2024_W3_F_Potatoes2_V_1,308
04_18_2024_W3_F_Powerade_P_3,285
04_18_2024_W3_F_Pringles_P_2,270
04_18_2024_W3_F_Ranch2_P_3,300
04_18_2024_W3_F_Ranch_P_3,287
04_18_2024_W3_F_RedOnions1_V_1,251
04_18_2024_W3_F_Salsa1_P_1,290
04_18_2024_W3_F_Sauce1_P_1,293
04_18_2024_W3_F_Spices_P_2,270
04_18_2024_W3_F_Sugar2_P_2,304
04_18_2024_W3_F_Sugar_P_2,260
04_18_2024_W3_F_TomatoCans1_P_1,292
04_18_2024_W3_F_TomatoCans2_P_1,274
04_18_2024_W3_F_Tomatoes1_F_1,262
04_18_2024_W3_F_Tomatoes2_F_1,263
04_18_2024_W_F_Apples1_F_1,250
04_18_2024_W_F_Apples2_F_1,291
04_18_2024_W_F_Apples3_F_1,245
04_18_2024_W_F_Apples4_F_1,236
04_18_2024_W_F_Asparagus1_V_1,302
04_18_2024_W_F_Avacados1_F_1,250
04_18_2024_W_F_BBQSauce_P_2,295
04_18_2024_W_F_Bananas1_F_1,249
04_18_2024_W_F_Bananas2_F_1,302
04_18_2024_W_F_Bread2_P_3,281
04_18_2024_W_F_Bread_P_3,300
04_18_2024_W_F_Broccoli1_V_1,319
04_18_2024_W_F_Candy2_P_3,283
04_18_2024_W_F_Candy3_P_3,304
04_18_2024_W_F_Candy_P_3,291
04_18_2024_W_F_Cans2_P_2,253
04_18_2024_W_F_Cans3_P_2,285
04_18_2024_W_F_Cans4_P_2,304
04_18_2024_W_F_Cans5_P_2,278
04_18_2024_W_F_Cans6_P_2,243
04_18_2024_W_F_Cans7_P_2,268
04_18_2024_W_F_Cans_P_2,278
04_18_2024_W_F_Chiles1_P_1,291
04_18_2024_W_F_Chips2_P_3,298
04_18_2024_W_F_Chips_P_3,288
04_18_2024_W_F_Coconuts1_F_1,184
04_18_2024_W_F_Coffee2_P_2,286
04_18_2024_W_F_Coffee_P_2,320
04_18_2024_W_F_Condiments_P_2,281
04_18_2024_W_F_Corn1_F_1,242
04_18_2024_W_F_Cucumbers1_V_1,273
04_18_2024_W_F_Doritos_P_3,286
04_18_2024_W_F_Flour1_P_1,301
04_18_2024_W_F_Flour_P_2,239
04_18_2024_W_F_Garlic1_V_1,221
04_18_2024_W_F_GrapeFruit1_F_1,247
04_18_2024_W_F_GreenPeppers1_F_1,260
04_18_2024_W_F_Greens1_V_1,243
04_18_2024_W_F_Greens2_V_1,295
04_18_2024_W_F_Jam_P_3,300
04_18_2024_W_F_Lemons1_F_1,258
04_18_2024_W_F_Limes1_F_1,303
04_18_2024_W_F_MacAndCheese1_P_1,282
04_18_2024_W_F_Mangoes1_F_1,349
04_18_2024_W_F_Melons1_F_1,305
04_18_2024_W_F_Melons2_F_1,225
04_18_2024_W_F_Mustard_P_2,283
04_18_2024_W_F_Nectarines1_F_1,269
04_18_2024_W_F_Nuts1_P_1,288
04_18_2024_W_F_Oil_P_3,304
04_18_2024_W_F_Oils_P_2,279
04_18_2024_W_F_Olive_P_3,295
04_18_2024_W_F_Onions1_V_1,276
04_18_2024_W_F_Oranges1_F_1,311
04_18_2024_W_F_PastaSauce5_P_2,273
04_18_2024_W_F_PeanutButter_P_3,279
04_18_2024_W_F_Pickles_P_2,293
04_18_2024_W_F_Pineapples1_F_1,264
04_18_2024_W_F_Plantains1_F_1,290
04_18_2024_W_F_Ranch_P_2,298
04_18_2024_W_F_Random_P_3,293
04_18_2024_W_F_RedOnions1_V_1,262
04_18_2024_W_F_Salsa_P_3,300
04_18_2024_W_F_Snacks_P_3,273
04_18_2024_W_F_Spices1_P_1,288
04_18_2024_W_F_Spices_P_3,297
04_18_2024_W_F_Sugar_P_2,302
04_18_2024_W_F_Sugar_P_3,291
04_18_2024_W_F_Syrup1_P_1,284
04_18_2024_W_F_Tomatoes1_F_1,296
04_18_2024_W_F_Tomatoes2_F_1,264
04_18_2024_W_F_Tortillas1_P_1,291
04_18_2024_W_F_Tostitos2_P_3,292
04_18_2024_W_F_Tostitos_P_3,295
04_18_2024_W_F_Various2_P_2,266
04_18_2024_W_F_Various_P_2,289
04_18_2024_W_F_Vinegar_P_3,286
04_19_2024_S2_F_Apples1_F_1,298
04_19_2024_S2_F_Apples2_F_1,250
04_19_2024_S2_F_Apples_F_2,248
04_19_2024_S2_F_Avacados1_F_1,311
04_19_2024_S2_F_Bananas1_F_1,259
04_19_2024_S2_F_Cans2_P_2,265
04_19_2024_S2_F_Cans_P_2,299
04_19_2024_S2_F_Chips2_P_3,306
04_19_2024_S2_F_Chips3_P_3,300
04_19_2024_S2_F_Chips4_P_3,300
04_19_2024_S2_F_Chips5_P_3,300
04_19_2024_S2_F_Chips_P_3,306
04_19_2024_S2_F_Drinks_P_2,254
04_19_2024_S2_F_Flour1_P_1,303
04_19_2024_S2_F_FruitCans1_P_1,292
04_19_2024_S2_F_Greens1_V_1,284
04_19_2024_S2_F_Greens2_V_1,263
04_19_2024_S2_F_Jam1_P_1,306
04_19_2024_S2_F_Juice1_P_1,266
04_19_2024_S2_F_Juice2_P_1,295
04_19_2024_S2_F_Lemons1_F_1,315
04_19_2024_S2_F_Mayo_P_2,264
04_19_2024_S2_F_Melons1_F_1,264
04_19_2024_S2_F_Oil1_P_1,301
04_19_2024_S2_F_Onions1_V_1,295
04_19_2024_S2_F_Onions2_V_1,297
04_19_2024_S2_F_Onions3_V_1,309
04_19_2024_S2_F_Oranges1_F_1,270
04_19_2024_S2_F_PastaSauce_P_2,299
04_19_2024_S2_F_Salsa_P_2,270
04_19_2024_S2_F_Sauce1_P_1,290
04_19_2024_S2_F_Sauce_P_2,289
04_19_2024_S2_F_Spices_P_3,285
04_19_2024_S2_F_Tomatoes1_F_1,322
04_19_2024_S2_F_Vinegar_P_3,305
04_19_2024_S_F_Bananas1_F_1,283
04_19_2024_S_F_Fruits1_F_1,259
04_19_2024_S_F_Greens_V_2,250
04_19_2024_S_F_Melons_F_2,268
04_19_2024_S_F_OliveOil_P_3,298
04_19_2024_W4_F_Apples1_F_1,285
04_19_2024_W4_F_Apples2_F_1,284
04_19_2024_W4_F_Avacados1_F_1,257
04_19_2024_W4_F_Bananas1_F_1,270
04_19_2024_W4_F_Bananas2_F_1,286
04_19_2024_W4_F_CanBeans2_P_3,305
04_19_2024_W4_F_CanBeans_P_3,302
04_19_2024_W4_F_CanTomato_P_3,300
04_19_2024_W4_F_Chips_P_3,300
04_19_2024_W4_F_Gourds1_F_1,240
04_19_2024_W4_F_Grapefruits1_F_1,273
04_19_2024_W4_F_Greens1_V_1,303
04_19_2024_W4_F_Greens2_V_1,287
04_19_2024_W4_F_Juices_P_3,279
04_19_2024_W4_F_Lemons1_F_1,252
04_19_2024_W4_F_Melons1_F_1,300
04_19_2024_W4_F_MixedNuts_P_3,298
04_19_2024_W4_F_Nectarines1_F_1,307
04_19_2024_W4_F_Onions1_V_1,288
04_19_2024_W4_F_Onions2_V_1,290
04_19_2024_W4_F_Oranges1_F_1,268
04_19_2024_W4_F_OrganicBananas1_F_1,318
04_19_2024_W4_F_Pears1_F_1,285
04_19_2024_W4_F_Peppers1_F_1,294
04_19_2024_W4_F_Pineapples1_F_1,305
04_19_2024_W4_F_Plantains1_F_1,314
04_19_2024_W4_F_Plums1_F_1,310
04_19_2024_W4_F_Plums2_F_1,277
04_19_2024_W4_F_Potatoes1_V_1,288
04_19_2024_W4_F_Random_P_3,295
04_19_2024_W4_F_RedOnions1_V_1,268
04_19_2024_W4_F_Salsa_P_3,300
04_19_2024_W4_F_Sauce_P_3,300
04_19_2024_W4_F_Soup_P_3,300
04_19_2024_W4_F_Tomatoes1_F_1,300
04_19_2024_W4_F_Tomatoes2_F_1,245
04_19_2024_W4_F_Watermelons1_F_1,268
04_19_2024_W_F_Bread_P_2,315
04_19_2024_W_F_Coffee_P_2,317
04_19_2024_W_F_Dressings_P_2,291
04_19_2024_W_F_Jelly_P_2,292
04_19_2024_W_F_Ketchup_P_2,263
04_19_2024_W_F_Oils_P_2,302
04_19_2024_W_F_Pickles_P_2,261
04_19_2024_W_F_Ranch_P_2,255
04_19_2024_W_F_Sauce_P_2,262
04_19_2024_W_F_Spices_P_2,250
04_19_2024_W_F_Sugar_P_2,250
