folder,psnr,ssim,lpips
04_19_2024_S2_F_Juice1_P_1,5.89313,0.01612,1.03141
04_18_2024_W3_F_Peppers1_F_1,13.34797,0.41299,0.67851
04_18_2024_W_F_Syrup1_P_1,10.45978,0.31765,0.73202
03_21_2024_W_L_Chips1_P_1,12.40188,0.3454,0.73563
04_18_2024_W3_F_Juice_P_3,9.15342,0.25552,0.81688
04_04_2024_S_C_Pears1_F_1,13.68167,0.59276,0.64817
04_18_2024_W_F_PeanutButter_P_3,8.83378,0.30894,0.80304
03_04_2024_S_L_SparklingWater_P_1,6.27937,0.00396,1.04378
04_18_2024_W3_F_Flour_P_2,10.55905,0.36149,0.78772
04_19_2024_S2_F_PastaSauce_P_2,10.20316,0.32563,0.86644
04_18_2024_W_F_Pickles_P_2,11.07775,0.34911,0.78922
04_18_2024_W3_F_Chips_P_2,11.36092,0.28906,0.78983
04_04_2024_W_C_Apples3_F_1,14.46118,0.45268,0.65705
04_04_2024_W_C_Ketchup_P_3,9.37781,0.26398,0.81839
04_19_2024_S2_F_Drinks_P_2,9.54516,0.2861,0.82107
04_18_2024_W2_F_Pears1_F_1,15.41624,0.46771,0.60102
04_04_2024_W_C_Coffee_P_2,6.13529,0.01786,1.04584
04_18_2024_W_F_Asparagus1_V_1,12.61655,0.26027,0.63754
03_04_2024_S_L_Onions1_V_1,13.801,0.38163,0.70956
04_18_2024_W_F_Cans6_P_2,5.87153,0.0046,1.0512
04_04_2024_W_C_Sauce_P_3,10.08271,0.29837,0.83193
03_04_2024_S_L_Nuts_P_2,15.15753,0.36431,0.70889
04_18_2024_W2_F_Oranges1_F_1,13.8943,0.47667,0.73885
04_19_2024_W4_F_Apples1_F_1,12.88272,0.43602,0.74021
04_18_2024_W2_F_AppleJuice_P_3,9.1699,0.31493,0.84786
04_18_2024_W3_F_Chilli_P_3,9.00341,0.27724,0.76894
03_04_2024_S_L_ApplesLong_F_1,13.57154,0.39978,0.74574
03_21_2024_W_L_Candy2_P_2,12.39248,0.35653,0.682
04_04_2024_W_C_GranolaBars3_P_2,11.6956,0.33346,0.77271
04_18_2024_W_F_PastaSauce5_P_2,null,null,null
03_21_2024_W_L_Oil1_P_1,null,null,null
04_04_2024_W2_C_Tomatoes2_F_1,12.34083,0.37082,0.69622
04_18_2024_W3_F_Apples2_F_1,11.97061,0.34748,0.71337
04_04_2024_W2_C_Chips_P_3,6.56144,0.01242,1.03532
04_18_2024_W_F_Mangoes1_F_1,15.64552,0.53832,0.55907
04_18_2024_W3_F_BBQSauce_P_3,8.74064,0.21495,0.7991
03_21_2024_W_L_Melons1_F_1,15.308,0.49043,0.64023
04_18_2024_W_F_RedOnions1_V_1,12.54548,0.36915,0.70029
04_19_2024_S2_F_Juice2_P_1,10.07348,0.23648,0.80093
04_18_2024_W2_F_Cans3_P_2,null,null,null
04_04_2024_W_C_Ranch_P_3,9.54716,0.28141,0.81646
04_18_2024_W2_F_Apples3_F_1,13.99972,0.49262,0.65167
04_19_2024_S2_F_Chips_P_3,10.06723,0.27649,0.82041
04_18_2024_W3_F_CanFruits_P_3,null,null,null
04_04_2024_W2_C_PeanutButter_P_3,10.37256,0.33907,0.80382
04_19_2024_W4_F_Chips_P_3,9.59337,0.30566,0.77364
03_21_2024_W_L_Cucumbers_F_2,10.73923,0.32114,0.75371
04_18_2024_W2_F_Cans2_P_2,null,null,null
04_19_2024_S2_F_Oranges1_F_1,12.61341,0.46818,0.78317
03_07_2024_S_L_Apples3_F_2,null,null,null
03_21_2024_W_L_Pears1_F_1,6.77451,0.03941,1.06799
04_04_2024_W2_C_Alfredo_P_3,6.01167,0.0122,1.0452
04_19_2024_S2_F_Apples2_F_1,13.46802,0.4706,0.83462
04_18_2024_W2_F_Coffee2_P_3,6.50996,0.07541,1.05183
03_21_2024_W_L_Radish_V_2,12.84855,0.35995,0.66156
04_19_2024_S2_F_Onions2_V_1,11.37252,0.45056,0.79658
04_04_2024_W2_C_PastaSauce_P_2,6.43521,0.03546,1.03662
04_04_2024_W2_C_Cans_P_2,13.91127,0.49049,0.73788
04_04_2024_W_C_GranolaBars2_P_2,10.65117,0.33462,0.82328
04_18_2024_W2_F_HotSauce1_P_1,11.76854,0.33232,0.72242
04_04_2024_W_C_Coffee4_P_2,null,null,null
04_18_2024_W2_F_Radish1_V_1,13.44883,0.32897,0.64916
04_19_2024_W_F_Oils_P_2,null,null,null
04_19_2024_W4_F_Pears1_F_1,11.37575,0.39192,0.77126
03_07_2024_S_L_Various_V_2,13.09905,0.35213,0.66946
04_04_2024_W2_C_Potatoes1_V_1,15.01471,0.46937,0.66601
04_04_2024_W_C_Onions1_V_1,15.01495,0.50786,0.67092
04_18_2024_W2_F_Mangoes1_F_1,13.17441,0.42555,0.71898
04_19_2024_S2_F_Mayo_P_2,null,null,null
03_21_2024_W_L_Pastasauce_P_2,10.37856,0.31249,0.8071
04_19_2024_W4_F_Nectarines1_F_1,13.47754,0.40942,0.67076
04_18_2024_W3_F_HotSauce_P_3,6.08227,0.01945,1.03065
04_18_2024_W2_F_AppleSauce1_P_1,9.43889,0.25336,0.82901
03_04_2024_S_L_FruitsLong_F_1,null,null,null
04_04_2024_W2_C_Candy_P_3,10.54354,0.35475,0.83892
04_04_2024_W_C_Sugar_P_2,5.81602,0.00658,1.03252
04_04_2024_W2_C_Bread3_P_2,6.39117,0.01511,1.02325
04_18_2024_W_F_Apples2_F_1,13.49614,0.43653,0.68681
04_18_2024_W2_F_Cucumbers1_V_1,10.80777,0.25332,0.72873
04_18_2024_W2_F_Nuts_P_2,null,null,null
04_19_2024_W4_F_Greens2_V_1,11.60839,0.2624,0.72115
04_18_2024_W3_F_Limes1_F_1,11.0469,0.32258,0.73882
04_18_2024_W3_F_Oils_P_2,9.1856,0.29561,0.8217
04_04_2024_W2_C_Melons1_F_1,14.48604,0.43594,0.61372
04_18_2024_W3_F_Lemons1_F_1,14.37077,0.44855,0.8562
03_21_2024_W_L_Cookies1_P_1,12.7422,0.37711,0.71269
04_18_2024_W_F_Garlic1_V_1,14.81486,0.50269,0.59097
03_21_2024_W_L_Onions_V_2,null,null,null
04_18_2024_W_F_Bread_P_3,9.38887,0.26491,0.79826
04_04_2024_S_C_Chips_P_2,10.22258,0.25693,0.78962
