folder,psnr,ssim,lpips
04_19_2024_S2_F_Juice1_P_1,9.27992,0.26817,0.81949
04_18_2024_W3_F_Peppers1_F_1,13.50011,0.42316,0.67681
04_18_2024_W_F_Syrup1_P_1,5.96047,0.01779,1.03256
03_21_2024_W_L_Chips1_P_1,12.92782,0.3415,0.68911
04_18_2024_W3_F_Juice_P_3,10.33481,0.2861,0.8173
04_04_2024_S_C_Pears1_F_1,15.77594,0.64515,0.54576
04_18_2024_W_F_PeanutButter_P_3,null,null,null
03_04_2024_S_L_SparklingWater_P_1,6.25424,0.00365,1.04506
04_18_2024_W3_F_Flour_P_2,10.53655,0.36396,0.78776
04_19_2024_S2_F_PastaSauce_P_2,10.20545,0.29649,0.84033
04_18_2024_W_F_Pickles_P_2,9.99254,0.33893,0.80963
04_18_2024_W3_F_Chips_P_2,10.89411,0.2604,0.79127
04_04_2024_W_C_Apples3_F_1,13.35931,0.39752,0.66773
04_04_2024_W_C_Ketchup_P_3,6.09656,0.01371,1.04381
04_19_2024_S2_F_Drinks_P_2,9.65006,0.29589,0.8155
04_18_2024_W2_F_Pears1_F_1,13.5168,0.40273,0.65051
04_04_2024_W_C_Coffee_P_2,6.16199,0.01782,1.04767
04_18_2024_W_F_Asparagus1_V_1,11.52994,0.26445,0.70731
03_04_2024_S_L_Onions1_V_1,13.20896,0.3726,0.75028
04_18_2024_W_F_Cans6_P_2,5.87864,0.00498,1.04608
04_04_2024_W_C_Sauce_P_3,10.34855,0.31251,0.84368
03_04_2024_S_L_Nuts_P_2,14.94365,0.36469,0.757
04_18_2024_W2_F_Oranges1_F_1,13.61053,0.47221,0.74228
04_19_2024_W4_F_Apples1_F_1,11.71916,0.38737,0.74772
04_18_2024_W2_F_AppleJuice_P_3,9.25372,0.32784,0.84775
04_18_2024_W3_F_Chilli_P_3,9.30515,0.25516,0.73687
03_04_2024_S_L_ApplesLong_F_1,6.838,0.00839,1.04262
03_21_2024_W_L_Candy2_P_2,12.34552,0.356,0.68109
04_04_2024_W_C_GranolaBars3_P_2,12.37607,0.35078,0.73573
04_18_2024_W_F_PastaSauce5_P_2,5.90792,0.0301,1.05815
03_21_2024_W_L_Oil1_P_1,null,null,null
04_04_2024_W2_C_Tomatoes2_F_1,12.09,0.37074,0.71754
04_18_2024_W3_F_Apples2_F_1,11.75882,0.3271,0.68629
04_04_2024_W2_C_Chips_P_3,10.40416,0.31225,0.85739
04_18_2024_W_F_Mangoes1_F_1,15.92383,0.54276,0.55874
04_18_2024_W3_F_BBQSauce_P_3,8.92281,0.22037,0.7948
03_21_2024_W_L_Melons1_F_1,16.14576,0.53188,0.59495
04_18_2024_W_F_RedOnions1_V_1,12.19756,0.3534,0.70686
04_19_2024_S2_F_Juice2_P_1,9.619,0.21536,0.80222
04_18_2024_W2_F_Cans3_P_2,10.9767,0.34076,0.76718
04_04_2024_W_C_Ranch_P_3,9.47722,0.28022,0.8028
04_18_2024_W2_F_Apples3_F_1,14.13627,0.49889,0.64582
04_19_2024_S2_F_Chips_P_3,null,null,null
04_18_2024_W3_F_CanFruits_P_3,null,null,null
04_04_2024_W2_C_PeanutButter_P_3,null,null,null
04_19_2024_W4_F_Chips_P_3,10.16743,0.34245,0.7885
03_21_2024_W_L_Cucumbers_F_2,11.32139,0.31218,0.68695
04_18_2024_W2_F_Cans2_P_2,null,null,null
04_19_2024_S2_F_Oranges1_F_1,12.76662,0.46977,0.71013
03_07_2024_S_L_Apples3_F_2,12.03962,0.41307,0.74749
03_21_2024_W_L_Pears1_F_1,14.30702,0.43489,0.68277
04_04_2024_W2_C_Alfredo_P_3,9.87222,0.2902,0.94242
04_19_2024_S2_F_Apples2_F_1,12.86465,0.47178,0.93859
04_18_2024_W2_F_Coffee2_P_3,8.98956,0.27051,0.8129
03_21_2024_W_L_Radish_V_2,12.56736,0.3386,0.66477
04_19_2024_S2_F_Onions2_V_1,4.86167,0.00769,1.03918
04_04_2024_W2_C_PastaSauce_P_2,6.46867,0.03516,1.03599
04_04_2024_W2_C_Cans_P_2,null,null,null
04_04_2024_W_C_GranolaBars2_P_2,5.91139,0.01108,1.04808
04_18_2024_W2_F_HotSauce1_P_1,5.92126,0.0123,1.04948
04_04_2024_W_C_Coffee4_P_2,null,null,null
04_18_2024_W2_F_Radish1_V_1,5.9984,0.00976,1.0259
04_19_2024_W_F_Oils_P_2,10.11826,0.21451,0.71254
04_19_2024_W4_F_Pears1_F_1,11.66217,0.37582,0.7333
03_07_2024_S_L_Various_V_2,7.95829,0.01748,1.00647
04_04_2024_W2_C_Potatoes1_V_1,15.14719,0.45872,0.66506
04_04_2024_W_C_Onions1_V_1,14.6621,0.54161,0.79763
04_18_2024_W2_F_Mangoes1_F_1,13.05354,0.44395,0.75847
04_19_2024_S2_F_Mayo_P_2,null,null,null
03_21_2024_W_L_Pastasauce_P_2,12.63378,0.33653,0.67965
04_19_2024_W4_F_Nectarines1_F_1,13.15907,0.40922,0.67086
04_18_2024_W3_F_HotSauce_P_3,6.2892,0.02017,1.02939
04_18_2024_W2_F_AppleSauce1_P_1,9.25647,0.25267,0.81839
03_04_2024_S_L_FruitsLong_F_1,null,null,null
04_04_2024_W2_C_Candy_P_3,10.38795,0.35424,0.83289
04_04_2024_W_C_Sugar_P_2,5.85074,0.00682,1.03162
04_04_2024_W2_C_Bread3_P_2,13.60204,0.36404,0.6688
04_18_2024_W_F_Apples2_F_1,13.51521,0.43793,0.67242
04_18_2024_W2_F_Cucumbers1_V_1,10.43005,0.24165,0.73025
04_18_2024_W2_F_Nuts_P_2,null,null,null
04_19_2024_W4_F_Greens2_V_1,6.37703,0.00968,1.02384
04_18_2024_W3_F_Limes1_F_1,11.41235,0.32417,0.73194
04_18_2024_W3_F_Oils_P_2,6.18928,0.02986,0.99198
04_04_2024_W2_C_Melons1_F_1,13.54138,0.40985,0.6081
04_18_2024_W3_F_Lemons1_F_1,5.97261,0.05659,1.09505
03_21_2024_W_L_Cookies1_P_1,11.81581,0.35475,0.77554
04_18_2024_W_F_Garlic1_V_1,13.77188,0.46493,0.644
03_21_2024_W_L_Onions_V_2,null,null,null
04_18_2024_W_F_Bread_P_3,9.62591,0.27058,0.78741
04_04_2024_S_C_Chips_P_2,10.63309,0.25915,0.77887
03_21_2024_W_L_Cereal1_P_1,12.81418,0.37111,0.69154
04_04_2024_W2_C_Apples5_F_1,6.0288,0.02357,1.06992
04_04_2024_W2_C_Grapefruits1_F_1,12.37791,0.38533,0.73651
04_04_2024_W2_C_Candy2_P_3,10.17622,0.29747,0.84372
04_04_2024_W2_C_ApplesLong1_F_1,11.97745,0.39515,0.70043
04_04_2024_W_C_PastaSauce_P_2,13.85489,0.49635,0.65473
04_18_2024_W2_F_Apples2_F_1,5.95434,0.01775,1.0785
04_04_2024_W_C_Coffee3_P_2,14.14552,0.51298,0.7649
04_04_2024_W_C_Cucumbers1_V_1,10.94255,0.29939,0.74411
04_18_2024_W_F_Cucumbers1_V_1,12.84558,0.36778,0.66907
04_04_2024_W_C_Apples4_F_1,11.95375,0.32466,0.7141
04_04_2024_S_C_Peppers2_F_1,10.92781,0.34544,0.76539
03_04_2024_S_L_ChipsSalsa2_P_1,7.32122,0.00727,0.88305
04_18_2024_W2_F_Pringles_P_2,9.99844,0.28768,0.77635
04_04_2024_W2_C_Flour_P_3,null,null,null
04_19_2024_S2_F_Chips4_P_3,10.1106,0.3139,0.79591
04_04_2024_S_C_Oranges1_F_1,16.22977,0.64026,0.591
04_04_2024_S_C_Apples1_F_1,12.69608,0.46886,0.69757
04_19_2024_W4_F_CanBeans_P_3,9.65474,0.27192,0.8202
04_18_2024_W2_F_Ketchup_P_2,null,null,null
04_19_2024_W4_F_Apples2_F_1,12.00571,0.4061,0.73411
04_04_2024_W_C_Drinks_P_2,6.2747,0.00999,1.03224
04_18_2024_W2_F_Coffee4_P_3,10.44593,0.37031,0.79436
04_19_2024_W4_F_Lemons1_F_1,14.06805,0.48733,0.64681
04_18_2024_W3_F_Apples3_F_1,11.82908,0.41294,0.73078
04_18_2024_W3_F_Chips3_P_2,9.29002,0.24257,0.82368
04_04_2024_W_C_Boxes_P_2,5.60348,0.01257,1.05312
04_04_2024_S_C_Celery1_V_1,11.2818,0.29111,0.75156
04_19_2024_W4_F_Potatoes1_V_1,10.70993,0.41049,0.77456
04_18_2024_W3_F_GreenPeppers1_F_1,11.76327,0.33699,0.70356
04_18_2024_W2_F_Chips4_P_2,9.86649,0.23434,0.77393
04_18_2024_W3_F_Greens1_V_1,11.71968,0.24787,0.69928
03_21_2024_W_L_Spices1_P_1,11.48658,0.29613,0.71919
03_21_2024_W_L_Candy2_P_1,6.26479,0.01021,1.00175
04_18_2024_W3_F_Bagels1_P_1,9.61166,0.24106,0.7777
04_04_2024_S_C_Various_V_2,13.75601,0.40274,0.67928
03_21_2024_W_L_Syrup_P_2,9.50238,0.26823,0.75331
04_04_2024_W_C_Oil_P_3,6.45593,0.01275,1.02921
04_19_2024_W_F_Coffee_P_2,9.57583,0.29577,0.85276
04_19_2024_W_F_Spices_P_2,10.61679,0.31533,0.7659
04_18_2024_W_F_Jam_P_3,8.76146,0.28253,0.75908
03_04_2024_S_L_Bananas_F_2,12.48358,0.38156,0.74582
04_18_2024_W2_F_Potatoes1_V_1,null,null,null
04_04_2024_S_C_OrangesLong2_F_1,11.16878,0.40463,0.77855
04_18_2024_W_F_Apples3_F_1,13.10922,0.39903,0.65061
04_19_2024_S2_F_Apples_F_2,13.82039,0.48654,0.61645
04_19_2024_W4_F_Melons1_F_1,11.64222,0.46171,0.72057
04_04_2024_NG_C_Chips_P_2,12.23696,0.31429,0.73498
03_21_2024_W_L_Apples3_F_2,6.12133,0.02437,1.057
04_18_2024_W2_F_Bread1_P_1,9.43801,0.26099,0.7898
04_19_2024_S2_F_Bananas1_F_1,12.05977,0.34277,0.67965
04_04_2024_NG_C_Gourds1_V_1,13.79192,0.45502,0.60965
04_04_2024_W2_C_Apples3_F_1,12.52251,0.32212,0.65841
04_04_2024_W_C_DriedFruits_P_2,6.05222,0.00701,1.01998
04_18_2024_W_F_Avacados1_F_1,11.35995,0.28964,0.70726
