folder,psnr,ssim,lpips
04_04_2024_W_C_Salsa_P_3,9.90037,0.25097,0.85989
04_04_2024_W_C_Corn1_F_1,11.67573,0.29101,0.81509
04_18_2024_W3_F_Flour_P_2,10.46341,0.31582,0.83845
04_04_2024_W2_C_Chips2_P_3,11.52727,0.30048,0.86515
04_04_2024_W2_C_Mangoes1_F_1,11.69761,0.30338,0.79152
04_18_2024_W_F_Various_P_2,11.19706,0.35282,0.81022
04_18_2024_W2_F_AppleJuice2_P_3,9.76893,0.20328,0.90037
04_04_2024_W_C_Greens1_V_1,10.58051,0.23957,0.84708
04_19_2024_S2_F_Spices_P_3,9.38094,0.20478,0.87151
04_18_2024_W2_F_Oil_P_3,10.14372,0.29232,0.85483
04_18_2024_W3_F_Sauce1_P_1,9.0396,0.22403,0.8634
04_18_2024_W_F_Oranges1_F_1,13.40591,0.39297,0.73368
04_18_2024_W2_F_Potatoes1_V_1,11.44869,0.35173,0.78552
04_04_2024_S_C_Mayo_P_2,9.48657,0.29013,0.84519
04_04_2024_S_C_Lemons1_F_1,12.09704,0.42595,0.7448
03_21_2024_W_L_PastaSauce1_P_1,10.88062,0.26201,0.78135
04_04_2024_W_C_Apples3_F_1,12.92524,0.36721,0.73443
04_18_2024_W3_F_Avacados1_F_1,11.62782,0.25902,0.7961
04_19_2024_W_F_Bread_P_2,9.87314,0.27791,0.86004
03_21_2024_W_L_Cantaloupes_F_2,12.73762,0.34515,0.7417
04_19_2024_W4_F_Juices_P_3,10.08489,0.17733,0.9381
04_19_2024_S2_F_Onions3_V_1,11.13661,0.27916,0.79617
04_19_2024_S2_F_Vinegar_P_3,10.02907,0.23136,0.88445
04_18_2024_W_F_MacAndCheese1_P_1,10.06545,0.26051,0.8445
04_18_2024_W3_F_Cereal_P_2,9.63053,0.26363,0.86608
04_04_2024_W_C_Sugar_P_2,11.97658,0.341,0.76831
04_04_2024_W2_C_PotatoesLong1_V_1,11.0009,0.35087,0.80848
04_18_2024_W_F_Chips2_P_3,9.67061,0.24102,0.89206
04_04_2024_S_C_Sauce_P_3,9.78359,0.22859,0.8738
04_18_2024_W_F_Cans3_P_2,10.80914,0.30563,0.81886
03_07_2024_S_L_OrangesLong1_F_1,12.13616,0.31415,0.80736
04_18_2024_W3_F_Pears1_F_1,11.78378,0.33585,0.77711
03_04_2024_S_L_ChipsSalsa2_P_1,13.83675,0.29131,0.62547
03_04_2024_S_L_Nuts_P_2,13.4645,0.25178,0.72739
03_04_2024_S_L_Apples_F_2,12.18634,0.30606,0.79331
04_04_2024_S_C_Various2_V_2,11.742,0.30718,0.79461
04_18_2024_W2_F_Apples3_F_1,12.16214,0.38018,0.72722
04_18_2024_W_F_Jam_P_3,9.49025,0.18603,0.89602
04_04_2024_W2_C_Chips4_P_3,11.28333,0.22438,0.86062
04_19_2024_S2_F_Greens1_V_1,11.09168,0.27556,0.79481
04_04_2024_W_C_Ketchup_P_3,9.82715,0.23537,0.85438
03_21_2024_W_L_Cookies1_P_1,11.93505,0.29294,0.7845
04_18_2024_W2_F_Apples4_F_1,11.29596,0.27067,0.76561
04_18_2024_W2_F_Coffee_P_3,9.81094,0.21487,0.90156
03_21_2024_W_L_Peppers_F_2,11.98678,0.29041,0.73337
04_04_2024_S_C_Apples2_F_1,13.01535,0.47604,0.69576
04_18_2024_W_F_Oil_P_3,10.35824,0.27272,0.86678
04_18_2024_W2_F_Candy2_P_2,9.52244,0.24187,0.87546
04_04_2024_W_C_Coffee3_P_2,11.22589,0.34061,0.805
04_18_2024_W2_F_PeanutButter_P_3,9.23944,0.22647,0.8793
04_04_2024_W_C_Tomatoes2_F_1,12.49495,0.35916,0.72496
04_18_2024_W_F_Coconuts1_F_1,11.67996,0.46179,0.79503
03_04_2024_S_L_Greens1_V_1,13.42515,0.2325,0.70084
04_19_2024_S2_F_Oranges1_F_1,12.03978,0.35122,0.78999
03_21_2024_W_L_Spices1_P_1,10.75643,0.20912,0.76413
04_04_2024_S_C_Cantaloupe_F_2,12.37033,0.47235,0.76464
04_04_2024_W_C_Coffee2_P_2,10.6347,0.24135,0.80572
04_04_2024_W2_C_Bananas2_F_1,12.04399,0.37506,0.74548
04_04_2024_W_C_GranolaBars2_P_2,10.78466,0.2567,0.83623
04_18_2024_W_F_Spices_P_3,11.42049,0.33307,0.87303
04_04_2024_W_C_Snacks2_P_2,11.70562,0.28067,0.81991
04_19_2024_S2_F_Chips2_P_3,10.24495,0.18438,0.90443
04_19_2024_S2_F_Avacados1_F_1,10.9766,0.23907,0.79136
03_21_2024_W_L_Pickles1_P_1,10.91312,0.26105,0.7618
04_04_2024_W_C_Oranges1_F_1,12.85629,0.37547,0.70403
04_04_2024_W2_C_SourCream_P_3,9.20949,0.19964,0.87359
04_18_2024_W3_F_Candy3_P_2,9.00495,0.22676,0.87337
04_04_2024_W2_C_Potatoes1_V_1,12.54538,0.41991,0.79848
04_18_2024_W2_F_TomatoCans1_P_1,10.60677,0.18426,0.903
04_18_2024_W3_F_CanSoup2_P_3,9.92915,0.19544,0.91069
04_18_2024_W2_F_OliveOil_P_3,9.46564,0.27456,0.86543
03_21_2024_W_L_Chips_P_2,10.38454,0.18492,0.79417
04_18_2024_W_F_Candy_P_3,9.79006,0.27508,0.89618
04_04_2024_W_C_Mangoes2_F_1,14.5567,0.41595,0.60135
04_19_2024_S2_F_Onions1_V_1,10.69316,0.33458,0.79393
04_04_2024_S_C_Coffee2_P_3,10.70999,0.23446,0.87445
04_18_2024_W_F_Apples4_F_1,12.58016,0.36058,0.74409
04_19_2024_S2_F_Melons1_F_1,11.72261,0.42573,0.81069
04_19_2024_S2_F_Salsa_P_2,9.6363,0.19084,0.87078
04_04_2024_W_C_Coffee_P_2,11.42115,0.31613,0.77096
04_04_2024_W_C_CannedPeas_P_3,10.74897,0.24328,0.83435
04_18_2024_W3_F_Alfredo1_P_1,9.71655,0.23306,0.87853
04_18_2024_W3_F_Tomatoes1_F_1,12.44096,0.30309,0.76496
04_19_2024_W4_F_CanBeans2_P_3,9.71855,0.25371,0.89588
03_21_2024_W_L_Nuts1_P_1,11.60379,0.30702,0.76597
04_18_2024_W2_F_PastaSauce2_P_1,10.20458,0.20976,0.92286
04_04_2024_S_C_Apples_P_3,10.93093,0.25505,0.85945
04_19_2024_S2_F_PastaSauce_P_2,10.59632,0.20141,0.87652
04_18_2024_W2_F_Plantains1_F_1,11.87484,0.43484,0.81814
04_18_2024_W2_F_Pringles_P_2,9.72641,0.23193,0.85085
04_18_2024_W_F_Bread2_P_3,10.97095,0.19123,0.88539
04_18_2024_W2_F_Random_P_3,9.93888,0.27101,0.88011
04_18_2024_W2_F_Cans_P_2,10.49564,0.2501,0.83044
04_04_2024_W_C_Sauce2_P_3,9.74267,0.19255,0.88569
04_04_2024_W_C_Ranch_P_3,9.7234,0.2199,0.85884
03_04_2024_S_L_FruitsLong_F_1,12.30542,0.26533,0.80006
04_04_2024_NG_C_PeanutButter_P_2,10.85924,0.30156,0.83346
04_19_2024_S2_F_Jam1_P_1,9.65944,0.1814,0.8674
04_18_2024_W3_F_PastaSauce1_P_1,10.26525,0.20561,0.83452
03_21_2024_W_L_Candy_P_2,10.57736,0.2594,0.78562
04_18_2024_W2_F_Juice_P_3,9.77413,0.24066,0.89076
04_04_2024_S_C_Sauces_P_2,11.03121,0.25239,0.75976
04_18_2024_W3_F_Bananas2_F_1,12.7658,0.43405,0.76359
04_04_2024_W2_C_Candy2_P_3,10.94919,0.20624,0.92425
04_18_2024_W3_F_CanSoup_P_3,9.56488,0.22602,0.89744
04_19_2024_W4_F_RedOnions1_V_1,11.07904,0.28204,0.78625
04_04_2024_W_C_GranolaBars3_P_2,11.42884,0.27213,0.79464
04_18_2024_W2_F_Cans2_P_2,10.31557,0.23139,0.86473
03_21_2024_W_L_Apples_F_2,12.4163,0.35052,0.70022
03_04_2024_S_L_Greens_V_2,12.84287,0.29436,0.74386
04_18_2024_W_F_Broccoli1_V_1,12.62679,0.2784,0.77975
04_18_2024_W2_F_Candy_P_2,10.04381,0.24116,0.84175
03_21_2024_W_L_Pastasauce_P_2,10.4661,0.2322,0.79803
04_19_2024_S2_F_Chips5_P_3,9.84388,0.2188,0.87707
04_19_2024_W4_F_Salsa_P_3,9.31371,0.23429,0.88783
03_07_2024_S_L_Apples3_F_2,11.55443,0.33619,0.82108
03_21_2024_W_L_Plantains1_F_1,13.0843,0.42131,0.66186
04_04_2024_W2_C_Tea_P_3,9.80364,0.26337,0.84573
04_18_2024_W2_F_Candy5_P_2,10.00222,0.22172,0.83024
04_19_2024_W4_F_Random_P_3,9.79078,0.24458,0.87028
04_04_2024_S_C_Oranges1_F_1,13.64763,0.5012,0.67834
04_18_2024_W2_F_Cans3_P_2,10.30228,0.26853,0.82648
04_04_2024_W2_C_Lemons1_F_1,13.23826,0.34478,0.72953
04_19_2024_W4_F_Onions2_V_1,12.23452,0.4114,0.78216
04_18_2024_W_F_Cans5_P_2,10.70875,0.20985,0.7992
04_18_2024_W3_F_Coffee_P_2,9.34757,0.25223,0.84428
04_18_2024_W3_F_Oils3_P_2,9.22803,0.2811,0.84858
04_04_2024_W_C_Melons1_F_1,10.95883,0.36474,0.79358
04_18_2024_W2_F_Vinegar_P_3,9.8887,0.32647,0.87314
03_04_2024_S_L_Onions1_V_1,12.67165,0.31138,0.7625
04_04_2024_S_C_Chips2_P_1,10.4971,0.21321,0.81827
03_04_2024_S_L_Onions_V_2,11.9616,0.31855,0.80922
04_18_2024_W2_F_Apples2_F_1,12.41212,0.32047,0.73341
04_19_2024_W4_F_Greens2_V_1,10.69415,0.22438,0.8018
04_18_2024_W_F_Asparagus1_V_1,12.3809,0.244,0.78025
04_04_2024_W_C_Greens3_V_1,11.73749,0.2734,0.70809
04_18_2024_W3_F_Apples1_F_1,11.94306,0.29424,0.80027
04_04_2024_W2_C_Apples1_F_1,12.42669,0.34936,0.75898
04_19_2024_S2_F_Oil1_P_1,9.98971,0.20602,0.86593
04_18_2024_W3_F_Powerade_P_3,9.21115,0.19928,0.87013
04_18_2024_W3_F_Juice_P_3,9.76994,0.18659,0.91415
03_21_2024_W_L_Nectarines2_F_1,12.71744,0.25039,0.71244
04_18_2024_W2_F_Pickles_P_2,9.44517,0.18389,0.92255
04_18_2024_W3_F_Chilli_P_3,9.36877,0.1941,0.89991
04_18_2024_W_F_Snacks_P_3,9.86536,0.1862,0.89509
