folder,psnr,ssim,lpips
03_21_2024_W_L_Ranch1_P_1,11.42221,0.27344,0.79222
03_21_2024_W_L_Ranch_P_2,13.22399,0.31197,0.74235
03_21_2024_W_L_Spices1_P_1,12.00488,0.26962,0.76295
03_21_2024_W_L_Syrup1_P_1,12.11269,0.28898,0.73494
03_21_2024_W_L_Syrup_P_2,10.39785,0.2671,0.76502
03_21_2024_W_L_Tomatoes_F_2,13.32304,0.40701,0.71857
04_04_2024_NG_C_Bananas1_F_1,12.81336,0.41313,0.76216
04_04_2024_NG_C_Broth_P_2,11.46152,0.31816,0.83743
04_04_2024_NG_C_Chips_P_2,13.51913,0.31781,0.82615
04_04_2024_NG_C_Fruits1_F_1,13.12999,0.33446,0.7802
04_04_2024_NG_C_Gourds1_V_1,12.8803,0.38805,0.7675
04_04_2024_NG_C_Oats_P_3,10.9221,0.28792,0.86668
04_04_2024_NG_C_Onions1_V_1,13.50288,0.44437,0.74541
04_04_2024_NG_C_PeanutButter_P_2,12.99121,0.34374,0.79933
04_04_2024_S_C_Apples1_F_1,11.96083,0.40741,0.7989
04_04_2024_S_C_Apples2_F_1,14.9565,0.53599,0.73133
04_04_2024_S_C_ApplesLong1_F_1,11.92372,0.43004,0.84778
04_04_2024_S_C_Apples_P_3,11.4934,0.316,0.8481
04_04_2024_S_C_Bananas_F_2,13.61051,0.42775,0.70316
04_04_2024_S_C_Broccoli1_V_1,14.45543,0.2837,0.79906
04_04_2024_S_C_Cantaloupe_F_2,14.36327,0.47581,0.74127
04_04_2024_S_C_Celery1_V_1,11.72801,0.27749,0.83811
04_04_2024_S_C_Chips1_P_1,11.96214,0.25565,0.81517
04_04_2024_S_C_Chips2_P_1,11.61977,0.25318,0.84202
04_04_2024_S_C_Chips2_P_2,10.60116,0.23446,0.82755
04_04_2024_S_C_Chips3_P_1,11.66515,0.2359,0.79064
04_04_2024_S_C_Chips3_P_2,13.70379,0.33931,0.78041
04_04_2024_S_C_Chips4_P_1,11.70534,0.28464,0.88727
04_04_2024_S_C_Chips_P_2,10.6402,0.23541,0.82752
04_04_2024_S_C_Coffee2_P_3,10.82666,0.27503,0.874
04_04_2024_S_C_Coffee_P_3,10.18164,0.28306,0.86247
04_04_2024_S_C_Exotic_F_2,13.69338,0.43143,0.73
04_04_2024_S_C_Gourds1_V_1,12.19154,0.44488,0.77439
04_04_2024_S_C_Greens_V_2,14.95341,0.34297,0.74545
04_04_2024_S_C_Ketchup_P_2,13.59835,0.39386,0.76875
04_04_2024_S_C_Lemons1_F_1,14.06858,0.48198,0.74549
04_04_2024_S_C_Mayo_P_2,13.37285,0.40344,0.78909
04_04_2024_S_C_Oil_P_3,9.99593,0.26224,0.835
04_04_2024_S_C_Oranges1_F_1,16.27398,0.57509,0.68824
04_04_2024_S_C_OrangesLong1_F_1,12.79414,0.47771,0.77524
04_04_2024_S_C_OrangesLong2_F_1,11.09661,0.37689,0.8291
04_04_2024_S_C_PeanutButter_P_3,10.64211,0.28881,0.84689
04_04_2024_S_C_Pears1_F_1,13.61266,0.46957,0.77626
04_04_2024_S_C_Peppers1_F_1,14.37308,0.42138,0.71814
04_04_2024_S_C_Peppers2_F_1,12.34034,0.33009,0.77138
04_04_2024_S_C_Pickles_P_2,11.1119,0.33271,0.81541
04_04_2024_S_C_Potatoes_V_2,14.48198,0.47724,0.70946
04_04_2024_S_C_Ranch_P_2,13.4815,0.34334,0.77647
04_04_2024_S_C_Salsa_P_3,9.74418,0.25775,0.87807
04_04_2024_S_C_Sauce_P_3,10.05254,0.23801,0.86132
04_04_2024_S_C_Sauces_P_2,13.45089,0.31941,0.75775
04_04_2024_S_C_Various2_V_2,14.98784,0.39786,0.75856
04_04_2024_S_C_Various_F_2,13.10467,0.41018,0.77118
04_04_2024_S_C_Various_V_2,12.64346,0.35361,0.77647
04_04_2024_W2_C_Alfredo_P_3,10.44787,0.25705,0.83918
04_04_2024_W2_C_AppleJuice_P_3,10.63109,0.27974,0.84303
04_04_2024_W2_C_Apples1_F_1,12.51878,0.37541,0.77612
04_04_2024_W2_C_Apples2_F_1,12.52405,0.35313,0.80585
04_04_2024_W2_C_Apples3_F_1,11.90542,0.28739,0.75836
04_04_2024_W2_C_Apples5_F_1,12.08303,0.34776,0.75014
04_04_2024_W2_C_ApplesLong1_F_1,11.61884,0.35187,0.80781
04_04_2024_W2_C_ApplesLong2_F_1,11.29768,0.32015,0.80466
04_04_2024_W2_C_AvacadosLong1_F_1,11.13394,0.26972,0.81114
04_04_2024_W2_C_Bananas2_F_1,12.49404,0.41147,0.77886
04_04_2024_W2_C_BananasLong1_F_1,11.12687,0.38234,0.83812
04_04_2024_W2_C_Beans_P_3,10.33885,0.29116,0.87772
04_04_2024_W2_C_Bread2_P_2,12.96733,0.31451,0.75402
04_04_2024_W2_C_Bread3_P_2,14.53085,0.35037,0.7675
04_04_2024_W2_C_Bread_P_2,11.80594,0.37589,0.84017
04_04_2024_W2_C_Candy2_P_3,10.52134,0.28264,0.88632
04_04_2024_W2_C_Candy_P_3,10.9654,0.31837,0.84527
04_04_2024_W2_C_Cans_P_2,12.33,0.37419,0.80884
04_04_2024_W2_C_Chips2_P_3,11.4656,0.29058,0.83811
04_04_2024_W2_C_Chips3_P_3,11.15005,0.2809,0.84744
04_04_2024_W2_C_Chips4_P_3,11.3244,0.2291,0.82872
04_04_2024_W2_C_Chips5_P_3,10.89553,0.30419,0.846
04_04_2024_W2_C_Chips6_P_3,11.24587,0.2437,0.84802
04_04_2024_W2_C_Chips_P_3,10.40111,0.25304,0.8461
04_04_2024_W2_C_Coffee_P_3,10.28618,0.33813,0.87687
04_04_2024_W2_C_Cucumbers1_V_1,11.0386,0.26256,0.80637
04_04_2024_W2_C_Cucumbers2_V_1,11.47593,0.29484,0.79894
04_04_2024_W2_C_Flour_P_3,10.46348,0.3133,0.86429
04_04_2024_W2_C_FruitsLong1_F_1,11.47223,0.26976,0.82963
04_04_2024_W2_C_Gourds1_V_1,11.99254,0.43264,0.76756
04_04_2024_W2_C_Grapefruits1_F_1,12.554,0.38767,0.81661
04_04_2024_W2_C_Juice_P_2,10.45285,0.13138,0.79919
04_04_2024_W2_C_Juice_P_3,10.24141,0.32079,0.87617
04_04_2024_W2_C_Ketchup_P_3,9.75258,0.22156,0.82679
04_04_2024_W2_C_Lemons1_F_1,14.90981,0.39612,0.77665
04_04_2024_W2_C_Mangoes1_F_1,12.28856,0.35611,0.77231
04_04_2024_W2_C_Mayo_P_2,11.70865,0.33006,0.79716
04_04_2024_W2_C_Melons1_F_1,13.76908,0.38497,0.72753
04_04_2024_W2_C_Oil2_P_3,10.92076,0.31017,0.83802
04_04_2024_W2_C_Oil_P_3,10.3151,0.31465,0.90558
04_04_2024_W2_C_Onions1_V_1,13.44906,0.39235,0.79736
04_04_2024_W2_C_Oranges1_F_1,15.06387,0.46539,0.76111
04_04_2024_W2_C_PastaSauce_P_2,12.38455,0.29789,0.81697
04_04_2024_W2_C_PeanutButter_P_3,10.61461,0.31107,0.85687
04_04_2024_W2_C_Peppers1_F_1,12.05539,0.34896,0.73543
04_04_2024_W2_C_Pickles_P_3,10.18527,0.25321,0.85874
04_04_2024_W2_C_Pineapples1_F_1,11.8161,0.21508,0.82461
04_04_2024_W2_C_Plantains1_F_1,14.74498,0.46969,0.75626
04_04_2024_W2_C_Potatoes1_V_1,13.73032,0.39754,0.79093
04_04_2024_W2_C_Potatoes2_V_1,11.98403,0.35345,0.76496
04_04_2024_W2_C_PotatoesLong1_V_1,14.68097,0.41943,0.74161
04_04_2024_W2_C_PotatoesLong2_V_1,11.42185,0.34562,0.80352
04_04_2024_W2_C_Ranch_P_2,11.3738,0.3111,0.79568
04_04_2024_W2_C_RedOnions1_V_1,12.69495,0.33484,0.71351
04_04_2024_W2_C_Sauce_P_2,11.53787,0.29864,0.77682
04_04_2024_W2_C_SourCream_P_3,9.94026,0.26568,0.85725
04_04_2024_W2_C_Spices_P_2,11.68705,0.30932,0.80521
04_04_2024_W2_C_Tea_P_3,10.80919,0.31595,0.8258
04_04_2024_W2_C_Tomatoes1_F_1,12.29624,0.358,0.77672
04_04_2024_W2_C_Tomatoes2_F_1,12.52569,0.36064,0.75116
04_04_2024_W_C_Apples1_F_1,13.02266,0.36936,0.78463
04_04_2024_W_C_Apples2_F_1,13.28919,0.40071,0.78016
04_04_2024_W_C_Apples3_F_1,14.35724,0.4094,0.76819
04_04_2024_W_C_Apples4_F_1,11.69639,0.32864,0.81616
04_04_2024_W_C_Avocados1_F_1,13.06681,0.29596,0.79031
04_04_2024_W_C_Beans_P_3,10.69101,0.24789,0.85627
04_04_2024_W_C_Boxes_P_2,11.4483,0.22385,0.80337
04_04_2024_W_C_Bread2_P_2,14.50239,0.39247,0.79067
04_04_2024_W_C_Cabbage1_V_1,14.31968,0.3673,0.76998
04_04_2024_W_C_CakeBatter_P_2,14.90313,0.39887,0.76126
04_04_2024_W_C_CannedPeas_P_3,10.54027,0.24126,0.84208
04_04_2024_W_C_Cans_P_3,9.8471,0.19665,0.87388
04_04_2024_W_C_Chips_P_2,14.06401,0.30437,0.73913
04_04_2024_W_C_Chips_P_3,11.2091,0.26464,0.84619
04_04_2024_W_C_Coffee2_P_2,12.40032,0.288,0.8003
04_04_2024_W_C_Coffee3_P_2,14.17721,0.41754,0.77559
04_04_2024_W_C_Coffee4_P_2,12.47754,0.32619,0.78736
04_04_2024_W_C_Coffee_P_2,14.29966,0.4033,0.76399
04_04_2024_W_C_Corn1_F_1,11.44677,0.31906,0.7813
04_04_2024_W_C_Cucumbers1_V_1,11.17171,0.26818,0.80003
04_04_2024_W_C_DriedFruits_P_2,14.21006,0.41175,0.77162
04_04_2024_W_C_Drinks_P_2,12.74847,0.33776,0.78076
04_04_2024_W_C_Flour_P_2,15.80535,0.45609,0.75375
04_04_2024_W_C_FruitsLong1_F_1,11.83367,0.34891,0.80965
04_04_2024_W_C_Garlic1_V_1,14.0549,0.40976,0.72404
04_04_2024_W_C_GranolaBars2_P_2,11.37836,0.28834,0.83405
04_04_2024_W_C_GranolaBars3_P_2,13.51164,0.35666,0.83135
04_04_2024_W_C_GranolaBars_P_2,13.51331,0.37709,0.78938
04_04_2024_W_C_Greens1_V_1,11.27478,0.25734,0.80033
04_04_2024_W_C_Greens2_V_1,12.05945,0.25253,0.79654
04_04_2024_W_C_Greens3_V_1,15.57,0.37314,0.71756
04_04_2024_W_C_Ketchup_P_3,10.06129,0.23343,0.83487
04_04_2024_W_C_Lemons1_F_1,13.29163,0.41625,0.77039
04_04_2024_W_C_Limes1_F_1,12.77592,0.32299,0.80839
04_04_2024_W_C_Mangoes1_F_1,12.30947,0.4012,0.79492
04_04_2024_W_C_Mangoes2_F_1,16.34514,0.49718,0.70925
04_04_2024_W_C_Mayo_P_3,10.25606,0.25433,0.84625
04_04_2024_W_C_Melons1_F_1,12.83575,0.38443,0.74876
04_04_2024_W_C_Melons2_F_1,11.95849,0.35247,0.77111
04_04_2024_W_C_Oil_P_3,10.69233,0.24847,0.82246
04_04_2024_W_C_Oils2_P_3,9.99974,0.24729,0.83402
04_04_2024_W_C_Onions1_V_1,13.04854,0.44635,0.78293
04_04_2024_W_C_Onions2_V_1,12.58717,0.4045,0.76741
04_04_2024_W_C_Oranges1_F_1,13.0241,0.43376,0.75889
04_04_2024_W_C_PastaSauce2_P_2,15.22021,0.46137,0.7685
04_04_2024_W_C_PastaSauce3_P_2,16.05818,0.5443,0.76352
04_04_2024_W_C_PastaSauce4_P_2,15.30217,0.46431,0.77264
04_04_2024_W_C_PastaSauce_P_2,14.60663,0.4408,0.76414
04_04_2024_W_C_Peppers1_F_1,12.29204,0.33456,0.76708
04_04_2024_W_C_Peppers2_F_1,9.72237,0.08416,1.00415
04_04_2024_W_C_Pickles_P_3,10.19023,0.25302,0.85319
04_04_2024_W_C_Pineapples1_F_1,11.8117,0.25489,0.81507
04_04_2024_W_C_Ranch_P_3,10.28016,0.26044,0.83717
04_04_2024_W_C_RedOnions1_V_1,13.58444,0.37619,0.71612
04_04_2024_W_C_Salsa_P_3,9.72549,0.25202,0.85613
04_04_2024_W_C_Sauce2_P_3,9.78723,0.22089,0.84504
04_04_2024_W_C_Sauce_P_3,10.19105,0.25982,0.83947
04_04_2024_W_C_Snacks2_P_2,14.2298,0.35619,0.81177
04_04_2024_W_C_Snacks_P_2,14.68704,0.41253,0.7694
04_04_2024_W_C_Sugar_P_2,15.49953,0.42981,0.7687
04_04_2024_W_C_TomatoCans_P_3,10.45671,0.24199,0.84069
04_04_2024_W_C_Tomatoes1_F_1,13.03812,0.36359,0.7622
04_04_2024_W_C_Tomatoes2_F_1,13.10675,0.42105,0.74608
04_04_2024_W_C_Various_P_2,13.03983,0.29689,0.81123
04_04_2024_W_C_Watermelon_F_2,14.82722,0.42095,0.71875
04_18_2024_W2_F_AppleJuice2_P_3,10.10774,0.26923,0.8608
04_18_2024_W2_F_AppleJuice_P_3,10.14975,0.29405,0.86671
04_18_2024_W2_F_AppleSauce1_P_1,10.0687,0.24995,0.86725
04_18_2024_W2_F_Apples1_F_1,12.26868,0.31009,0.808
04_18_2024_W2_F_Apples2_F_1,12.38917,0.35348,0.80138
04_18_2024_W2_F_Apples3_F_1,14.1737,0.45895,0.72212
04_18_2024_W2_F_Apples4_F_1,11.86813,0.30242,0.75591
04_18_2024_W2_F_BBQSauce2_P_2,10.24089,0.24512,0.7997
04_18_2024_W2_F_BBQSauce_P_3,9.52416,0.27563,0.88215
04_18_2024_W2_F_Bagels_P_3,11.06831,0.2904,0.87322
04_18_2024_W2_F_Bread1_P_1,10.03345,0.26367,0.81838
04_18_2024_W2_F_Bread2_P_1,9.97235,0.2265,0.81927
04_18_2024_W2_F_Bread_P_3,10.77294,0.28823,0.84491
04_18_2024_W2_F_Buns1_P_1,10.20463,0.23934,0.82484
04_18_2024_W2_F_Candy2_P_2,10.75016,0.25902,0.82825
04_18_2024_W2_F_Candy3_P_2,12.04855,0.30337,0.79529
04_18_2024_W2_F_Candy4_P_2,10.71138,0.25732,0.82016
04_18_2024_W2_F_Candy5_P_2,11.02063,0.26873,0.81088
04_18_2024_W2_F_Candy_P_2,12.16207,0.30695,0.81113
04_18_2024_W2_F_Cans2_P_2,10.83279,0.27199,0.82997
04_18_2024_W2_F_Cans3_P_2,12.5541,0.33328,0.79735
04_18_2024_W2_F_Cans_P_2,13.48813,0.351,0.78144
04_18_2024_W2_F_Chips2_P_2,11.58347,0.27092,0.81103
04_18_2024_W2_F_Chips3_P_2,11.21039,0.29897,0.81882
04_18_2024_W2_F_Chips4_P_2,10.64043,0.2473,0.83934
04_18_2024_W2_F_Chips5_P_2,9.56963,0.19373,0.80966
04_18_2024_W2_F_Chips_P_2,11.86728,0.28871,0.79543
04_18_2024_W2_F_Coffee2_P_3,10.02183,0.27488,0.87331
04_18_2024_W2_F_Coffee3_P_3,10.12196,0.27729,0.86545
04_18_2024_W2_F_Coffee4_P_3,10.49242,0.33931,0.85833
04_18_2024_W2_F_Coffee_P_3,10.12919,0.26377,0.86939
04_18_2024_W2_F_Cucumbers1_V_1,10.60497,0.22645,0.79541
04_18_2024_W2_F_Dressing_P_2,11.43566,0.29235,0.79983
04_18_2024_W2_F_Flour1_P_1,10.44659,0.32359,0.8707
04_18_2024_W2_F_GrapeFruit1_F_1,12.92159,0.40952,0.8101
04_18_2024_W2_F_GreenPeppers1_F_1,11.90958,0.27694,0.75832
04_18_2024_W2_F_Greens1_V_1,12.29973,0.29611,0.77544
04_18_2024_W2_F_HotSauce1_P_1,11.31925,0.29125,0.80425
04_18_2024_W2_F_Jam1_P_1,9.34435,0.2127,0.82305
04_18_2024_W2_F_Juice_P_3,10.36905,0.30994,0.88752
04_18_2024_W2_F_Ketchup_P_2,9.76072,0.22486,0.80149
04_18_2024_W2_F_Lemons1_F_1,13.3699,0.34753,0.80184
04_18_2024_W2_F_Mangoes1_F_1,12.42348,0.37683,0.81043
04_18_2024_W2_F_Melons1_F_1,14.24085,0.35848,0.79899
04_18_2024_W2_F_Melons2_F_1,12.42757,0.41638,0.76864
04_18_2024_W2_F_Nuts_P_2,10.90578,0.27023,0.79876
04_18_2024_W2_F_Oil_P_3,10.19554,0.29221,0.84371
04_18_2024_W2_F_OliveOil_P_3,9.56848,0.29189,0.8626
04_18_2024_W2_F_OrangeJuice_P_3,9.86842,0.30791,0.87679
04_18_2024_W2_F_Oranges1_F_1,13.53692,0.41794,0.80491
04_18_2024_W2_F_PastaSauce1_P_1,9.74632,0.25678,0.84349
04_18_2024_W2_F_PastaSauce2_P_1,9.79603,0.2683,0.84906
04_18_2024_W2_F_PeanutButter_P_3,9.79692,0.28221,0.86553
04_18_2024_W2_F_Pears1_F_1,14.48991,0.40601,0.73772
04_18_2024_W2_F_Peppers1_F_1,11.78628,0.34283,0.77967
04_18_2024_W2_F_Pickles_P_2,9.47738,0.23413,0.8191
04_18_2024_W2_F_Pineapples1_F_1,11.62329,0.18857,0.8083
04_18_2024_W2_F_Plantains1_F_1,13.80911,0.4493,0.7775
04_18_2024_W2_F_Potatoes1_V_1,11.65791,0.36567,0.79941
04_18_2024_W2_F_Pringles_P_2,10.45209,0.24961,0.80807
04_18_2024_W2_F_Radish1_V_1,14.00079,0.32032,0.75396
04_18_2024_W2_F_Random_P_3,10.30604,0.31201,0.86057
04_18_2024_W2_F_Salsa1_P_1,9.57649,0.26635,0.84679
04_18_2024_W2_F_Snacks_P_2,10.89617,0.25676,0.81564
04_18_2024_W2_F_Soup_P_3,9.99992,0.26568,0.87974
04_18_2024_W2_F_Spices_P_3,10.13468,0.26247,0.86812
04_18_2024_W2_F_Sugar_P_3,10.23489,0.32478,0.87376
04_18_2024_W2_F_Tea_P_3,10.33947,0.32298,0.87047
04_18_2024_W2_F_TomatoCans1_P_1,10.12597,0.237,0.85864
04_18_2024_W2_F_Tomatoes1_F_1,12.16156,0.36716,0.76217
04_18_2024_W2_F_Vinegar_P_3,10.42837,0.33013,0.83738
04_18_2024_W3_F_Alfredo1_P_1,9.5148,0.26034,0.87058
04_18_2024_W3_F_AppleJuice_P_3,9.85175,0.2522,0.83964
04_18_2024_W3_F_Apples1_F_1,11.7895,0.33583,0.82069
04_18_2024_W3_F_Apples2_F_1,12.17893,0.33234,0.75987
04_18_2024_W3_F_Apples3_F_1,13.00181,0.40422,0.7562
04_18_2024_W3_F_Apples4_F_1,11.50193,0.38145,0.79926
04_18_2024_W3_F_Avacados1_F_1,11.85089,0.29032,0.79857
04_18_2024_W3_F_BBQSauce_P_3,9.47795,0.21981,0.85437
04_18_2024_W3_F_Bagels1_P_1,10.00785,0.22995,0.82272
04_18_2024_W3_F_Bananas1_F_1,11.10604,0.33041,0.78989
04_18_2024_W3_F_Bananas2_F_1,12.86587,0.45824,0.79943
04_18_2024_W3_F_Bread_P_2,10.08015,0.27018,0.79026
04_18_2024_W3_F_Breads1_P_1,11.52172,0.24983,0.75205
04_18_2024_W3_F_Buns1_P_1,9.95546,0.28529,0.83164
04_18_2024_W3_F_CanFruits_P_3,10.37754,0.27046,0.86996
04_18_2024_W3_F_CanSoup2_P_3,10.04783,0.27868,0.88709
04_18_2024_W3_F_CanSoup_P_3,9.45907,0.24872,0.86002
04_18_2024_W3_F_Candy2_P_2,9.89107,0.25963,0.84872
04_18_2024_W3_F_Candy3_P_2,9.96055,0.26133,0.83622
04_18_2024_W3_F_Candy_P_2,9.46217,0.29069,0.85824
04_18_2024_W3_F_Cans_P_2,10.1567,0.28092,0.82521
